workerid	completion	condition	item	sentence1	slide_number
18	identified had now been apprehended	SC_RC	CRITICAL_9	The inkling that the violent extremist who the agent	8
18	knocked everyone for six said he doesn't really like cricket	obj_ext_RC	5_obj_ext_RC	The bowler who the	10
18	targeted was taken into consideration	SC_RC	CRITICAL_2	The admission that the ambitious student who the bully	11
18	dog dies	filler	filler_14	Every 20 minutes in the US a	12
18	it could be caught	filler	filler_27	The horses ran down the hill to the barn before	13
18	accompanied has now been acknowledged	SC_RC	CRITICAL_5	The confirmation that the conservative senator who the diplomat	14
18	are fun for everyone	filler	filler_5	Outdoor games and picnics	15
18	treated the child was misplaced in the practice	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	16
18	the charity hired was not qualified 	obj_ext_RC	4_obj_ext_RC	The paralegal who the	17
18	sent it to the director was rejected	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	18
18	arrested was false	SC_RC	CRITICAL_1	The story that the alleged criminal who the officer	19
18	who patrolled the park fell ill with the flu	sub_ext_RC	4_sub_ext_RC	The ranger who	20
18	eagerly awaited her food order	filler	filler_29	She drummed her fingers against the table as she	21
18	attacked was endorsed by the tribunal	SC_RC	CRITICAL_7	The assertion that the injured victims who the criminal	22
18	did what was eventually replaced with another member of the public	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	23
18	lady fiend I will treat her good forever	filler	filler_3	If I ever get another	24
18	burning heat	filler	filler_35	The lumberjack sweated under the	25
18	apointed has no foundation	SC_RC	CRITICAL_10	The belief that the military commander who the president	26
18	love me get somebody else	filler	filler_6	If you don't	27
18	loathed won anther reelection	SC_RC	CRITICAL_6	The realization that the successful CEO who the employee	28
18	spoilt the ballot paper cried himself to sleep	sub_ext_RC	2_sub_ext_RC	The voter who	29
18	frequented had some weight	SC_RC	CRITICAL_11	The fact that the old preacher who the parishioners	30
18	say he would not come to supper	filler	filler_40	The old man phoned his younger sister to	31
18	supported was mislaid in the headmaster's office	SC_RC	CRITICAL_0	The report that the school principal who the teacher	32
18	did a great service to eventually was replaced with another song	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	33
18	deemed fit was ruled unsafe by the medical board	SC_RC	CRITICAL_3	The declaration that the marathon runner who the psychiatrist	34
18	won the race retired from the sport	sub_ext_RC	5_sub_ext_RC	The jockey who	35
18	practice hired helped many pets	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	36
18	encountered was headlines in the news	SC_RC	CRITICAL_4	The disclosure that the courageous lifesaver who the swimmer	37
18	sat at the bar was not happy with the tip given	RC_RC_an	3_RC_RC_an	The waiter who the customer who	38
18	mumbled along could not write a good report	RC_RC_an	1_RC_RC_an	The reporter who the professor who	39
18	tried to passify was clearly hyperactive	SC_RC	CRITICAL_8	The assumption that the frightened child who the medic	40
18	reveal a hero plaque	filler	filler_24	The aviators gathered together at the library to	41
18	hits ,what a treat!	filler	filler_16	Four score and seven	42
19	letting people walk all over her, something which she had seen happen to her younger sister.	filler	filler	Annabelle was generally against	4
19	started thinking about his future with a little more clarity and excitement.	filler	filler	The gardener's son won a scholarship, so he	5
19	the conversations and atmosphere of the previous night were something he wanted to experience more of.	filler	filler	When Frank woke up, he remembered	6
19	picked out as having incredible talent and promise, was anything more than a gesture of belief and faith, was found to be untrue.	SC_RC	CRITICAL_7	The assertion that the young violinist who the sponsors	7
19	are a fantastic way of getting exercise in the summer months.	filler	filler_5	Outdoor games and picnics	8
19	took a liking to was anything more than a professional courtesy was just not true.	SC_RC	CRITICAL_9	The inkling that the leading man who the starlet	9
19	provided the evidence for the news story declined to be interviewed for the piece.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	10
19	spotted was in trouble paid a visit to their home this afternoon to express their gratitude.	SC_RC	CRITICAL_1	The story that the courageous lifesaver who the swimmer	11
19	long wanted to write a piece of historical significance, started to become more difficult with each passing week.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	12
19	try then you will never know.	filler	filler_6	If you don't	13
19	singled out for praise was anything other than based on merit and performance was just not true.	SC_RC	CRITICAL_2	The admission that the college student who the professor	14
19	blistering heat and sun.	filler	filler_35	The lumberjack sweated under the	15
19	broke all records known to the sport has announced his retirement.	sub_ext_RC	5_sub_ext_RC	The jockey who	16
19	put his vote and money behind was just not up to the job came as no surprise to the majority of the people.	SC_RC	CRITICAL_6	The realization that the savvy politician who the banker	17
19	winning the national championship for the first time in their history.	filler	filler_34	The choir made a lot of noise in the back of the bus after	18
19	remind her that no matter the distance family is family and he will be there when she needs him.	filler	filler_40	The old man phoned his younger sister to	19
19	family put all their hope in entered the room, all eyes turned towards the open door and waited for the news.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	20
19	quietly bribed behind closed doors was crooked was frankly an insult.	SC_RC	CRITICAL_8	The assumption that the conservative senator who the diplomat	21
19	realising they did not like the snow covered fields and frozen waters, retreating back up the hill to the warmth.	filler	filler_27	The horses ran down the hill to the barn before	22
19	shot the bear in self defence says he had no other options.	sub_ext_RC	4_sub_ext_RC	The ranger who	23
19	invested his money in was intending to waste his funds turned out to be true based on expenditure reports.	SC_RC	CRITICAL_3	The declaration that the aspiring entrepreneur who the philanthropist	24
19	entire country watched secure the championship was knighted by the queen this afternoon.	obj_ext_RC	5_obj_ext_RC	The bowler who the	25
19	claimed not to know was proven to be lies based on camera footage secrety obtained this afternoon.	SC_RC	CRITICAL_10	The belief that the cunning trickster who the woman	26
19	thought his vote would not make a difference was shocked to find out his preferred candidate won by one vote.	sub_ext_RC	2_sub_ext_RC	The voter who	27
19	criminal took a liking to shocked the court by changing sides half way through the trial.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	28
19	tried to get fired came to light this afternoon in a screaming match across the car park.	SC_RC	CRITICAL_0	The report that the successful CEO who the employee	29
19	new tweet by the president slightly lowers the intelligence level of the entire population.	filler	filler_14	Every 20 minutes in the US a	30
19	recognised him from somewhere came to the realisation that he was jesus, and he was there to save them.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	31
19	showed no remore towards both sickened and upset the courtroom in a way very few instances have.	SC_RC	CRITICAL_11	The fact that the injured victims who the criminal	32
19	performed normally as a duet became too much to get through, and she quietly left the stage before the performance was complete.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	33
19	pointed out as being the one she spoke to earlier was clearly false, because the office clerk is deaf.	SC_RC	CRITICAL_5	The confirmation that the office clerk who the customer	34
19	waited for the news on her mothers condition, every moment feeling like a year.	filler	filler_29	She drummed her fingers against the table as she	35
19	performed the checkup, mysteriously went missing and was never seen again.	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	36
19	see just how many pages there were in all off the books, they had nothing else to do with their time.	filler	filler_24	The aviators gathered together at the library to	37
19	cheated on her with her younger sister.	filler	filler_12	Carl admitted to Larissa the he had	38
19	had already previously named came as no surprise to anyone.	SC_RC	CRITICAL_4	The disclosure that the suspected mobster who the media	39
19	chance at life i will do things exactly the same, but if i get another chance after that i may consider some changes.	filler	filler_3	If I ever get another	40
19	makes no sense to most people, this is not the 18th century anymore.	filler	filler_16	Four score and seven	41
19	claimed to have made racist remarks, was told not to come into work the next day.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	42
20	animal testing, but there were some instances she was unsure.	filler	filler	Annabelle was generally against	4
20	took his father to the garden centre.	filler	filler	The gardener's son won a scholarship, so he	5
20	that he had forgot to put the dishwasher on.	filler	filler	When Frank woke up, he remembered	6
20	trusted, was a shock to his colleagues.	SC_RC	CRITICAL_4	The disclosure that the savvy politician who the banker	7
20	had a favourite horse, was predicted to come last in the race.	sub_ext_RC	5_sub_ext_RC	The jockey who	8
20	secretly knew the defendant, was in for a surprise	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	9
20	had bankrolled was that the artist had made a huge mistake	SC_RC	CRITICAL_9	The inkling that the marketing whiz who the artist	10
20	voted for Trump was severely disillusioned	sub_ext_RC	2_sub_ext_RC	The voter who	11
20	only had eyes for was gay, devastated her	SC_RC	CRITICAL_2	The admission that the leading man who the starlet	12
20	tell her of his diagnosis	filler	filler_40	The old man phoned his younger sister to	13
20	had undercover dealings with was enough to get him fired	SC_RC	CRITICAL_7	The assertion that the shady trader who the businessman	15
20	are fun except for wasps	filler	filler_5	Outdoor games and picnics	16
20	years ago, Shakespeare was a writer	filler	filler_16	Four score and seven	18
20	winning the competition	filler	filler_34	The choir made a lot of noise in the back of the bus after	19
20	seduced was one told for many years	SC_RC	CRITICAL_1	The story that the violent extremist who the agent	20
20	the storm came.	filler	filler_27	The horses ran down the hill to the barn before	21
20	research the latest airplane development.	filler	filler_24	The aviators gathered together at the library to	22
20	owed his life to was a criminal was hard to believe.	SC_RC	CRITICAL_10	The belief that the courageous lifesaver who the swimmer	23
20	cheated on her.	filler	filler_12	Carl admitted to Larissa the he had	24
20	did grocery shopping for was her father was one she couldn't quite believe.	SC_RC	CRITICAL_6	The realization that the odd neighbor who the woman	25
20	had spoken to was a fraudster was upsetting	SC_RC	CRITICAL_5	The confirmation that the office clerk who the customer	27
20	child gets shot	filler	filler_14	Every 20 minutes in the US a	28
20	alley was named after had died	obj_ext_RC	5_obj_ext_RC	The bowler who the	29
20	eat your vegetables you won't grow up big and strong	filler	filler_6	If you don't	30
20	had entrusted with the nuclear weapons was a Russian spy shocked the nation.	SC_RC	CRITICAL_3	The declaration that the military commander who the president	31
20	had the red dress on was more than happy with the service	RC_RC_an	3_RC_RC_an	The waiter who the customer who	32
20	chance to say goodbye, I will.	filler	filler_3	If I ever get another	33
20	had graded the students inaccurately was arrested	RC_RC_an	1_RC_RC_an	The reporter who the professor who	34
20	had paid the funeral for were deeply upset.	SC_RC	CRITICAL_0	The report that the old preacher who the parishioners	35
20	had burned his previous works was found.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	36
20	flannel button up.	filler	filler_35	The lumberjack sweated under the	37
20	backed to win would be successful, turned out to be not so true.	SC_RC	CRITICAL_8	The assumption that the young violinist who the sponsors	38
20	shot the bear.	sub_ext_RC	4_sub_ext_RC	The ranger who	39
20	had collaborated with had secretly released the artwork was devastating	SC_RC	CRITICAL_11	The fact that the famous sculptor who the painter	40
20	lawyer had fallen in love with was already married.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	41
20	pet owner had gone to for years was retiring. 	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	42
21	hunting	filler	filler	Annabelle was generally against	4
21	could go to the school 	filler	filler	The gardener's son won a scholarship, so he	5
21	to feed the cats	filler	filler	When Frank woke up, he remembered	6
21	applied my braces	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	7
21	fell in love with 	SC_RC	CRITICAL_0	The report that the leading man who the starlet	8
21	jacket	filler	filler_35	The lumberjack sweated under the	10
21	rode the horse to victory 	sub_ext_RC	5_sub_ext_RC	The jockey who	11
21	worked 	filler	filler_29	She drummed her fingers against the table as she	12
21	win 	filler	filler_3	If I ever get another	13
21	down	filler	filler_16	Four score and seven	14
21	attacked were from the house	SC_RC	CRITICAL_8	The assumption that the injured victims who the criminal	15
21	employed the actor 	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	16
21	offended was most upset	SC_RC	CRITICAL_3	The declaration that the office clerk who the customer	17
21	performed on the stage sung	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	18
21	knew told. 	SC_RC	CRITICAL_1	The story that the aspiring entrepreneur who the philanthropist	20
21	are great when the sun is shining 	filler	filler_5	Outdoor games and picnics	21
21	made the decision spoke to 	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	23
21	voted for was the best performer	SC_RC	CRITICAL_6	The realization that the young violinist who the sponsors	24
21	forgotten to feed the cat 	filler	filler_12	Carl admitted to Larissa the he had	25
21	knew was visiting the town 	SC_RC	CRITICAL_11	The fact that the famous sculptor who the painter	26
21	men were friends with 	obj_ext_RC	5_obj_ext_RC	The bowler who the	27
21	like this you are boring 	filler	filler_6	If you don't	28
21	listened to every Sunday was correct	SC_RC	CRITICAL_10	The belief that the old preacher who the parishioners	29
21	voted in the last election 	sub_ext_RC	2_sub_ext_RC	The voter who	30
21	dropped her drink apologised to 	RC_RC_an	3_RC_RC_an	The waiter who the customer who	31
21	stopping for a drink 	filler	filler_27	The horses ran down the hill to the barn before	32
21	met for dinner had created a new invention 	SC_RC	CRITICAL_5	The confirmation that the mad scientist who the mayor	33
21	performing at their concert 	filler	filler_34	The choir made a lot of noise in the back of the bus after	34
21	teacher had taught 	obj_ext_RC	4_obj_ext_RC	The paralegal who the	35
21	had spoken out against made a complaint 	RC_RC_an	1_RC_RC_an	The reporter who the professor who	36
21	read their books 	filler	filler_24	The aviators gathered together at the library to	37
21	opposite had been observing was very lonely 	SC_RC	CRITICAL_2	The admission that the odd neighbor who the woman	38
21	tell her the news 	filler	filler_40	The old man phoned his younger sister to	39
21	had bought his goods from was in trouble with the police 	SC_RC	CRITICAL_9	The inkling that the shady trader who the businessman	40
21	person is shot 	filler	filler_14	Every 20 minutes in the US a	41
21	fell for had scammed her of her money 	SC_RC	CRITICAL_4	The disclosure that the cunning trickster who the woman	42
22	abortions.	filler	filler	Annabelle was generally against	4
22	he had to go to work.	filler	filler	When Frank woke up, he remembered	5
22	went to school.	filler	filler	The gardener's son won a scholarship, so he	6
22	night time.	filler	filler_27	The horses ran down the hill to the barn before	7
22	are fun.	filler	filler_5	Outdoor games and picnics	9
22	remembers.	SC_RC	CRITICAL_9	The inkling that the school principal who the teacher	10
22	complete an assignment.	filler	filler_24	The aviators gathered together at the library to	11
22	fought yesterday has been suspended.	SC_RC	CRITICAL_8	The assumption that the ambitious student who the bully	12
22	tent.	filler	filler_35	The lumberjack sweated under the	13
22	went to school with.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	14
22	cheated on her.	filler	filler_12	Carl admitted to Larissa the he had	15
22	always threatens moved.	SC_RC	CRITICAL_10	The belief that the odd neighbor who the woman	16
22	won ten rounds.	sub_ext_RC	5_sub_ext_RC	The jockey who	17
22	left a tip for.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	18
22	is streaming is now in jail.	SC_RC	CRITICAL_1	The story that the suspected mobster who the media	19
22	rushed out the door.	filler	filler_29	She drummed her fingers against the table as she	20
22	did not like. 	SC_RC	CRITICAL_2	The admission that the aspiring entrepreneur who the philanthropist	21
22	had the best document.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	22
22	winning the competition.	filler	filler_34	The choir made a lot of noise in the back of the bus after	23
22	go to school you will get in trouble.	filler	filler_6	If you don't	24
22	stole from us been punished.	SC_RC	CRITICAL_11	The fact that the shady trader who the businessman	25
22	baby is born.	filler	filler_14	Every 20 minutes in the US a	26
22	chance to give back to school I would.	filler	filler_3	If I ever get another	27
22	did not like.	SC_RC	CRITICAL_7	The assertion that the famous surgeon who the patient	28
22	went to school.	filler	filler	The gardener's son won a scholarship, so he	4
22	abortions.	filler	filler	Annabelle was generally against	5
22	he had to work.	filler	filler	When Frank woke up, he remembered	6
22	liked very well.	SC_RC	CRITICAL_11	The fact that the young violinist who the sponsors	7
22	stayed gone for weeks.	sub_ext_RC	4_sub_ext_RC	The ranger who	8
22	doesnt like.	SC_RC	CRITICAL_8	The assumption that the military commander who the president	9
22	winning the competition. 	filler	filler_34	The choir made a lot of noise in the back of the bus after	10
22	keeps stealing from went to jail.	SC_RC	CRITICAL_2	The admission that the angry bookseller who the thief	11
22	dogs go to are closed.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	12
22	wins all of there cases.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	13
22	punched for being smart. 	SC_RC	CRITICAL_9	The inkling that the taxi driver who the tourist	14
22	cheated on her. 	filler	filler_12	Carl admitted to Larissa the he had	15
22	always ignores.	SC_RC	CRITICAL_6	The realization that the violent extremist who the agent	16
22	the judge said that they lied.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	17
22	baby is born.	filler	filler_14	Every 20 minutes in the US a	18
22	dont attend the church any longer.	SC_RC	CRITICAL_10	The belief that the old preacher who the parishioners	19
22	borrow some money.	filler	filler_40	The old man phoned his younger sister to	20
22	won the contest. 	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	21
22	fired.	SC_RC	CRITICAL_4	The disclosure that the mad scientist who the mayor	22
22	got caught doing multiple ballets.	sub_ext_RC	2_sub_ext_RC	The voter who	23
22	fought yesterday got suspended. 	SC_RC	CRITICAL_1	The story that the ambitious student who the bully	24
22	dark. 	filler	filler_27	The horses ran down the hill to the barn before	25
22	left a tip after dinner.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	26
22	documents were spectacular. 	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	27
22	rushed out the door.	filler	filler_29	She drummed her fingers against the table as she	28
22	complete a task.	filler	filler_24	The aviators gathered together at the library to	29
22	looses. 	filler	filler_16	Four score and seven	30
22	doesnt kike.6	SC_RC	CRITICAL_7	The assertion that the marketing whiz who the artist	31
22	won several races.	sub_ext_RC	5_sub_ext_RC	The jockey who	32
22	said that they want be able to participate anymore. 	SC_RC	CRITICAL_3	The declaration that the marathon runner who the psychiatrist	33
22	know me by now you will never know me.	filler	filler_6	If you don't	34
22	tent.	filler	filler_35	The lumberjack sweated under the	35
22	likes stopped attending. 	SC_RC	CRITICAL_5	The confirmation that the college student who the professor	36
22	are fun.	filler	filler_5	Outdoor games and picnics	37
22	chance to go to school I would.	filler	filler_3	If I ever get another	38
22	attacked has pressed charges. 	SC_RC	CRITICAL_0	The report that the alleged criminal who the officer	39
22	the teacher goes to lunch with.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	40
22	score keeper likes has quit.	obj_ext_RC	5_obj_ext_RC	The bowler who the	41
22	accepts Medicare has moved to a different location. 	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	42
23	spinach.	filler	filler	Annabelle was generally against	4
23	the night before. 	filler	filler	When Frank woke up, he remembered	5
23	left for college.	filler	filler	The gardener's son won a scholarship, so he	6
23	hurt went as such.	SC_RC	CRITICAL_1	The story that the injured victims who the criminal	7
23	came angrily into the restaurant spoke to was apologetic.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	8
23	other team despised had arrived.	obj_ext_RC	5_obj_ext_RC	The bowler who the	9
23	are fun summer activities.	filler	filler_5	Outdoor games and picnics	10
23	has spoken to had been fired was upsetting.	SC_RC	CRITICAL_6	The realization that the office clerk who the customer	11
23	client had spoken to seem distracted.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	12
23	the teacher suggested practicing on the ride to the recital.	filler	filler_34	The choir made a lot of noise in the back of the bus after	13
23	meet in secret.	filler	filler_24	The aviators gathered together at the library to	14
23	years ago, the speech began.	filler	filler_16	Four score and seven	15
23	had hired was taking bribes was shocking.	SC_RC	CRITICAL_2	The admission that the military commander who the president	16
23	had considered every candidate had made his choice.	sub_ext_RC	2_sub_ext_RC	The voter who	17
23	had spotted the bear walkied his superiors.	sub_ext_RC	4_sub_ext_RC	The ranger who	18
23	was fired had spoken to was sympathetic.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	19
23	had fallen off of his horse made a full recovery.	sub_ext_RC	5_sub_ext_RC	The jockey who	20
23	had mentored was acting charitably was encouraging.	SC_RC	CRITICAL_11	The fact that the aspiring entrepreneur who the philanthropist	21
23	grinding to a halt in front of the creek.	filler	filler_27	The horses ran down the hill to the barn before	22
23	had met with was graduating was welcome news.	SC_RC	CRITICAL_5	The confirmation that the college student who the professor	23
23	inform her of the accident.	filler	filler_40	The old man phoned his younger sister to	24
23	act now, you'll miss out!	filler	filler_6	If you don't	25
23	had admired was moving across the country was shocking.	SC_RC	CRITICAL_4	The disclosure that the old preacher who the parishioners	26
23	purposely ignored her call the night before.	filler	filler_12	Carl admitted to Larissa the he had	27
23	person files for bankruptcy.	filler	filler_14	Every 20 minutes in the US a	28
23	had gotten a ride with was finishing his shift was confusing.	SC_RC	CRITICAL_3	The declaration that the taxi driver who the tourist	29
23	was arriving to work had used was out of ink.	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	30
23	had a recent surgery was singing was a challenging one.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	31
23	admired was an avid learner was not hard to believe.	SC_RC	CRITICAL_10	The belief that the young violinist who the sponsors	32
23	had arrived late saw was dressed sharply.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	33
23	had vilified was dead was a welcome one.	SC_RC	CRITICAL_8	The assumption that the suspected mobster who the media	34
23	chance, I'll apply for the position.	filler	filler_3	If I ever get another	35
23	had swindled was onto him was worrisome, but unlikely to come to fruition.	SC_RC	CRITICAL_9	The inkling that the angry bookseller who the thief	36
23	had passed away had left behind was an impressive one.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	37
23	thick red flannel.	filler	filler_35	The lumberjack sweated under the	38
23	had met with was, in fact, winning the election seemed false.	SC_RC	CRITICAL_7	The assertion that the savvy politician who the banker	39
23	man had spoken to was calm and reassuring.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	40
23	was indebted to had been a lifeguard in previous years was unsurprising.	SC_RC	CRITICAL_0	The report that the courageous lifesaver who the swimmer	41
23	waited for her name to be called.	filler	filler_29	She drummed her fingers against the table as she	42
24	moved away to attend school.	filler	filler	The gardener's son won a scholarship, so he	4
24	he didn't have to work today. 	filler	filler	When Frank woke up, he remembered	5
24	cooking that day.	filler	filler	Annabelle was generally against	6
24	hot sun.	filler	filler_35	The lumberjack sweated under the	7
24	was hiding was caught.	SC_RC	CRITICAL_0	The report that the cunning trickster who the woman	8
24	recorded it was a success.	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	9
24	hired was a fraud.	SC_RC	CRITICAL_6	The realization that the marketing whiz who the artist	10
24	lawyer just hired, was extremely impressive.	obj_ext_RC	4_obj_ext_RC	The paralegal who the	11
24	didn't like, was somewhat abusive.	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	12
24	thought was a phoney turned out to be true.	SC_RC	CRITICAL_8	The assumption that the aspiring entrepreneur who the philanthropist	13
24	the owner opened the stall doors.	filler	filler_27	The horses ran down the hill to the barn before	14
24	taught many years ago, came to interview him.	RC_RC_an	1_RC_RC_an	The reporter who the professor who	15
24	beat up, ruffled his feathers.	SC_RC	CRITICAL_3	The declaration that the ambitious student who the bully	16
24	worked on my teeth, wouldn't write.	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	17
24	finished first was disqualified.	sub_ext_RC	5_sub_ext_RC	The jockey who	18
24	learning a new song.	filler	filler_34	The choir made a lot of noise in the back of the bus after	19
24	stop, I'm going to scream.	filler	filler_6	If you don't	22
24	didn't trust kept making deals was incredulous.	SC_RC	CRITICAL_11	The fact that the shady trader who the businessman	23
24	door is closed to an opportunity.	filler	filler_14	Every 20 minutes in the US a	24
24	roomed with was a drunk was proven to be true.	SC_RC	CRITICAL_7	The assertion that the famous sculptor who the painter	25
24	league suspended, came and made trouble.	obj_ext_RC	5_obj_ext_RC	The bowler who the	26
24	send their leader off.	filler	filler_24	The aviators gathered together at the library to	27
24	had great hopes for came true.	SC_RC	CRITICAL_10	The belief that the young violinist who the sponsors	28
24	were ruined by the weather.	filler	filler_5	Outdoor games and picnics	29
24	was rude to received a large tip.	RC_RC_an	3_RC_RC_an	The waiter who the customer who	30
24	had a crush on, was married, made her sad.	SC_RC	CRITICAL_4	The disclosure that the leading man who the starlet	31
24	worked on it, was never published.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	32
24	dog, it will be a non shedder.	filler	filler_3	If I ever get another	33
24	shot, recovered eventually.	SC_RC	CRITICAL_1	The story that the injured victims who the criminal	34
24	stood in line for hours, finally cast their vote.	sub_ext_RC	2_sub_ext_RC	The voter who	35
24	tell her he needed help.	filler	filler_40	The old man phoned his younger sister to	36
24	first saw the fire called it in.	sub_ext_RC	4_sub_ext_RC	The ranger who	37
24	appointed, was grateful. 	SC_RC	CRITICAL_5	The confirmation that the military commander who the president	38
24	neighbor befriended, was thankful.	obj_ext_RC	1_obj_ext_RC	The veterinarian who the	39
24	waited for her date to show up.	filler	filler_29	She drummed her fingers against the table as she	40
24	never trusted, turned out to be deceitful.	SC_RC	CRITICAL_2	The admission that the successful CEO who the employee	41
24	years ago is a popular saying.	filler	filler_16	Four score and seven	42
25	testing animals	filler	filler	Annabelle was generally against	4
25	he had to go to an appointment today	filler	filler	When Frank woke up, he remembered	5
25	would have more money to spend	filler	filler	The gardener's son won a scholarship, so he	6
25	said did not do his own work	SC_RC	CRITICAL_3	The declaration that the famous sculptor who the painter	7
25	fell over was found on the floor	RC_RC_inan	6_RC_RC_inan	The pen which the orthodontist who	8
25	was not true	SC_RC	CRITICAL_7	The assertion that the ambitious student who the bully	9
25	spoilt his paper by writing on it	sub_ext_RC	2_sub_ext_RC	The voter who	10
25	fell in love with was not true	SC_RC	CRITICAL_11	The fact that the famous surgeon who the patient	11
25	boss did not like	obj_ext_RC	4_obj_ext_RC	The paralegal who the	12
25	met him through a exercise class	RC_RC_an	2_RC_RC_an	The lawyer who the juror who	13
25	somebody is diagnosed with a life threatening disease	filler	filler_14	Every 20 minutes in the US a	15
25	times the amount	filler	filler_16	Four score and seven	16
25	work you will not get paid	filler	filler_6	If you don't	17
25	warned not to run still went ahead	SC_RC	CRITICAL_6	The realization that the marathon runner who the psychiatrist	18
25	tell them that he was going to visit	filler	filler_40	The old man phoned his younger sister to	19
25	other team thought was not any good	obj_ext_RC	5_obj_ext_RC	The bowler who the	20
25	wanted to finish was not able to	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	21
25	thought was being quite rude	RC_RC_an	3_RC_RC_an	The waiter who the customer who	22
25	stole from was about a theft from a book shop	SC_RC	CRITICAL_1	The story that the angry bookseller who the thief	23
25	spent all of the money they had saved for a holiday	filler	filler_12	Carl admitted to Larissa the he had	24
25	had suggested knew he was not tom be trusted all along	SC_RC	CRITICAL_2	The admission that the shady trader who the businessman	25
25	pondered what to do next	filler	filler_29	She drummed her fingers against the table as she	26
25	had become afraid of horses	sub_ext_RC	5_sub_ext_RC	The jockey who	27
25	thought was rich actually had no money	SC_RC	CRITICAL_4	The disclosure that the old preacher who the parishioners	28
25	running into a neighbours field	filler	filler_27	The horses ran down the hill to the barn before	29
25	was actually mad	SC_RC	CRITICAL_5	The confirmation that the mad scientist who the mayor	30
25	are a fun thing to do on a summer day	filler	filler_5	Outdoor games and picnics	31
25	the work clothes he had to wear on a hot day.	filler	filler_35	The lumberjack sweated under the	32
25	tried to protect the animals from being shot	sub_ext_RC	4_sub_ext_RC	The ranger who	33
25	hired had escaped	SC_RC	CRITICAL_10	The belief that the violent extremist who the agent	34
25	caught them doing wrong was eventually arrested	RC_RC_an	1_RC_RC_an	The reporter who the professor who	35
25	wrote the song made a lot of money	RC_RC_inan	2_RC_RC_inan	The ballad which the singer who	37
25	winning their competition	filler	filler_34	The choir made a lot of noise in the back of the bus after	38
25	find all the books they could 	filler	filler_24	The aviators gathered together at the library to	39
25	fell in love with had done this before	SC_RC	CRITICAL_8	The assumption that the cunning trickster who the woman	40
25	car i will clean it more	filler	filler_3	If I ever get another	41
25	thought was not who he said he was	SC_RC	CRITICAL_0	The report that the aspiring entrepreneur who the philanthropist	42
26	clothing made from animal products such as fur.	filler	filler	Annabelle was generally against	4
26	what he had dreamed about during the night.	filler	filler	When Frank woke up, he remembered	5
26	went to the pub to celebrate with his friends and family.	filler	filler	The gardener's son won a scholarship, so he	6
26	it buckled and Emily fell off, hurting her wrist as she fell.	filler	filler_27	The horses ran down the hill to the barn before	7
26	disliked turned out to be untrue. 	SC_RC	CRITICAL_2	The admission that the mad scientist who the mayor	8
26	have coffee in the morning, you will get a headache. 	filler	filler_6	If you don't	9
26	struggled with writers block, turned to comfort eating to find inspiration.	RC_RC_inan	1_RC_RC_inan	The manuscript which the writer who	10
