completion	verbs	whichVerbDropped
Knew was up for debate.	2	NA
Liked was new to town made all the difference.	3	NA
Looked after became a famous actor pleased him.	NA	NA
Loved and was thankful for was shared with everybody there.	2	NA
Loved was deceased was a shock.	3	NA
Put forward for a special award won.	2	NA
Recognized right away ran into the back room, confirmed to the customer that he was her best friend’s slimey ex.	3	NA
Recommended was made public.	2	NA
Reported was widely read. 	2	NA
Rescused was aware to give his name and phone number made finding his parents easier.	3	NA
Sued is for the safety of the general public. 	2	NA
Supported wasn’t going to attend the event caused unnecessary disappointment.	3	NA
Suspected of embezzling the church was acquited, did not stop their distrust of them.	3	NA
That made the presentation Made was very succinct. 	NA	NA
Wanted to meet, never happened because of the coronavirus.	2	NA
Was being operated by was manifested in the success of his latest surgery. 	2	NA
Was dating, was actually using him for financial gain, broke the philanthropist’s heart.	3	NA
Was following met with the president was questionable.	3	NA
Was friends with was beginning to decay was not a fair one.	3	NA
Was in cohorts with was a snitch was proven to be true when she accepted a plea deal given by the court.	3	NA
Was rescued by is a testament that humans still have love for one another. 	2	NA
Was the father of was being naughty was not true.	3	NA
Was watching.	1	NA
accused of making a mistake was unfounded.	2	NA
accused of theft was a mistake.	2	NA
accused of thuggery, was factually correct.	2	NA
actually wanted to be friends with, helped him pass his exams.	2	NA
admired behond belief...	NA	NA
admired had married another almost broke her. 	3	NA
admired was gay was a shock.	3	NA
admired was incompetent was incorrect.	3	NA
adored was not entirely trustworthy.	2	NA
always ignores.	1	NA
always threatens moved.	2	NA
appointed his heath czar wanted to force vaccines on everyone in the city, was false.	3	NA
appointed, was grateful. 	2	NA
arrested was being set up seemed feasible.	3	NA
arrested, was the right person was strong. 	3	NA
assainated, appeased the agency that he worked for.	2	NA
attacked has pressed charges. 	2	NA
attacked lost several IQ points was ill-founded.	3	NA
attacked was incomplete.	2	NA
backed financially was terminally ill.	2	NA
backed, has a criminal record, has caused great concern.	3	NA
backed, was recieved well by the public at the opening on thier new business. 	2	NA
beat up, ruffled his feathers.	2	NA
believed to be Joe, was actually written by Ben was the clue he was waiting for.	3	NA
believed to be god personified had become entangled in this state of affairs left them shell shocked. 	3	NA
blackmailed was a double agent was made under duress.	3	NA
called Boris, read, was met with much consternation.	3	NA
called a hack, was inept, was scandalous.	3	NA
called on, knew the answer, was incorrect.	3	NA
calmed was a refugee was true.	3	NA
chased through the park was not even a protestor, did not matter.	3	NA
chose to fix the clock, would only fix the clock, was ridiculous.	3	NA
claimed not to know was proven to be lies based on camera footage secrety obtained this afternoon.	2	NA
complained about being incompetent proved to be correct.	3	NA
complained about was indeed correct.	2	NA
crashed in to, were going to be ok.	2	NA
declared fit to run, was able to complete the marathon, was correct.	3	NA
despised, was going to be called out by MeToo, made her happy.	3	NA
diagnosed as being unfit to enter the race, had been lost before the event. 	2	NA
did not like.	1	NA
did not like. 	1	NA
didn't like, had actually lost her teeth.	2	NA
didn't make sense. 	2	NA
didn't trust kept making deals was incredulous.	3	NA
disagreed entirely with, was being paid of by petroleum companies.	2	NA
disliked was married was a surprise.	3	NA
disliked, had committed fraud, was unfounded.	3	NA
doesnt kike.6	1	NA
doesnt like.	1	NA
dont attend the church any longer.	1	NA
dragged under had a heart condition was confirmed at the autopsy.	3	NA
evaluated and found that the runner was addicted.	1	NA
examined after the incident was the daughter of a man on the FBI's most wanted list, made the situation even more complex.	3	NA
fell for was guilty, saved many lives.	3	NA
fell in love with. 	1	NA
fired at, forms the base of the investigation	2	2
fired.	1	NA
fought yesterday got suspended. 	2	1
fought yesterday has been suspended.	2	1
found fault with wasn't sticking to the rules was untrue.	3	NA
found snooping around their house wasn't causing any problems.	2	-1
found was all alone.	2	1
gang had hurt, were undercover policemen was a surprise.	3	NA
glamourised was dead.	2	1
had a bad feeling about was found to be correct after this arrest. 	2	2
had a crush on, was actually bald, made her cry.	3	NA
had a crush on, was married, made her sad.	3	NA
had a fight with the year before, would sack her at the first opportunity. 	2	1
had a mere brief chat to, was indeed the person who they were looking for. 	2	1
had adored was in fact a violent criminal was very difficult to the parishioners to come to terms with.	3	NA
had already previously named came as no surprise to anyone.	2	2
had an affair with was planning to steal the moon shocked us all.	3	NA
had an affair with, was half his age.	2	1
had appointed, was capable of teaching his maths class.	2	1
had arrested that morning, was cleared of all charges.	2	1
had arrested was in fact completely innocent was a shock to the officer.	3	NA
had arrested was indeed the perpetrator was announced. 	NA	NA
had arrested, had since escaped.	NA	NA
had arrested, was innocent, was being investigated.	NA	NA
had assaulted, testified, meant that he was brought to justice.	NA	NA
had avoided dealing with, was not as honest as implied.	NA	NA
had become good friends with was of a romantic nature was incorrect.	NA	NA
had been employed wasn't as good as first thought.	NA	NA
had been following for months and captured had a escaped, enraged the agent.	NA	NA
had been observing for seven years.	NA	NA
had been rescued by, has lead to the lifesaver being treated like a celebrity.	NA	NA
had been searching for, had escaped the country is in fact false.	NA	NA
had caught spying on her country, surprised no one.	NA	NA
had chosen as his apprentice had a criminal record, made him think twice.	NA	NA
had chosen, was his father, did not matter.	NA	NA
had come to see perform was also in a rock band made her seem even more intriguing.	NA	NA
had come to trust was thinking about retiring made the service that day feel bittersweet.	NA	NA
had complained about being asleep, was indeed a surprise.	NA	NA
had complet faith in would pass the year was not supported by thier final grades. 	NA	NA
had decorated with a medal was exciting.	NA	NA
had diagnosed as broken minded had now recovered and finished the marathon left everyone astounded. 	NA	NA
had dropped like a stone was on drugs was entirely true.	NA	NA
had envied all throughout high school, was now the first female president of America made the bully realise their actions were terrible. 	NA	NA
had fallen foul of, was guilty.	NA	NA
had fallen in love with, was actually stealing her money, gave her brother the reason to call the police.	NA	NA
had fallen in love with, was single, was wrong.	NA	NA
had found having an affair with his wife but did not say anything was suddenly standing in front of him, face to face.	NA	NA
had gone to for help was potentially a fraudster has been proved false.	NA	NA
had great hopes for came true.	NA	NA
had had an affair with, has led to him losing his job.	NA	NA
had hired to create a piece and instead turned out to be a fraud is confirmed to be true.	NA	NA
had hurt on their way out of the bank.	NA	NA
had initially written off as a nobody was in fact the famous movie director peter robinson had left her wondering whether she had judged him too harshly.	NA	NA
had knocked over, was actually his neighbour.	NA	NA
had left a bad review about.	NA	NA
had lended money to was in fact a dangerous criminal was a shock to the woman.	NA	NA
had made a secret deal with was involved in fraud and corruption sent shockwaves through the party.	NA	NA
had many confrontations with, was diagnosed with Alzheimer's, increased their empathy for him.	NA	NA
had met for the first time only recently was something of a recluse started to make sense after what she had witnessed.	NA	NA
had not bothered to tip was an old childhood friend, made the tourist feel really bad for their actions. 	NA	NA
had painted, was not happy with the portrait and had written a book about it.	NA	NA
had personally pick made devistated the community. 	NA	NA
had placed all their hopes in, was going to give him a clean bill of health, brought tears to the patient's family's eyes.	NA	NA
had portrayed as the great saviour.	NA	NA
had previously portrayed as a decent person came as a shock.	NA	NA
had pushed, took matters into his own hands.	NA	NA
had reported to the police, had done nothing wrong, was no surprise.	NA	NA
had respected for over two decades was a thief, took the whole community by surprise.	NA	NA
had sacked, was coming back.	NA	NA
had scammed was a shock to everyone who knew him.	NA	NA
had seen on TV, stirred feels of hope and respect prior to the operation. 	NA	NA
had seen running across the street, drove him to search every building in the block.	NA	NA
had selected to take her to the resort, had no idea where he was going, frightened the tourist.	NA	NA
had sensationalised, had escaped from prison last week.	NA	NA
had shouted at, filed a complaint.	NA	NA
had slept with was found to be false. 	NA	NA
had slept with was married gave the authorities no option but to sack him. 	NA	NA
had so callously abandonned, had all died played heavily on his mind.	NA	NA
had so callously harmed, forgave him, gave the criminal pause as to his chosen profession.	NA	NA
had spoke to at the start of the race had cheated came from the psychiatrist.	NA	NA
had suspected all along as being guilt of the crime was in fact innocent, left the office in disbelief and doubting themselves.	NA	NA
had suspected of kidnapping the townspeople and experimenting on them in his secret lab had finally been exposed gave the mayor much relief. 	NA	NA
had thanked earlier, may not have been genuine.	NA	NA
had thanked for saving them from the water.	NA	NA
had thought was not academically strong enough, was undermined by the top grades he was achieving. 	NA	NA
had thumped was actually the bully themselves came as a shock.	NA	NA
had to thank for saving his life, admitted that they had been drunk while swimming. 	NA	NA
had tortured for days on end and left in a horrific states had finally escaped, much to the relief of the people. 	NA	NA
had treated, was not going to make it.	NA	NA
had trusted to handle the pandemic had instead made things worse, was a bitter pill for the mayor to swallow.	NA	NA
had used for a lift was in fact a con man has been proven false.	NA	NA
had worked for, was not going to pay was true.	NA	NA
has trained mentally for 6 months before the race.	NA	NA
hated was actuallly a nice guy.	NA	NA
hated was actually a rapist.	NA	NA
hated was not supported by facts.	NA	NA
hated, went on holiday.	NA	NA
helped, would financially support the project, was greatly appreciated,	NA	NA
hired had ripped him off.	NA	NA
hired was a fraud.	NA	NA
idolised, was dying had a massive negative effect on the group. 	NA	NA
insulted hit him is untrue.	NA	NA
invested his money in was intending to waste his funds turned out to be true based on expenditure reports.	NA	NA
is streaming is now in jail.	NA	NA
keeps stealing from went to jail.	NA	NA
knew from a previous job, sold secrets.	NA	NA
knew from childhood, used his art to promote his business. 	NA	NA
knew personally was not a good one.	NA	NA
knew personally, was actually a fraud was a carefully guarded secret in the company.	3	NA
knew personally, was actually taking bribes was widely known.	3	NA
knew was about to resign made the situation seem stage managed.	NA	NA
knew was about to retire.	1	NA
knew was gay.	1	NA
knew was not trustworthy.	1	NA
knew was very poorly.	1	NA
knew well was a sad one to receive. 	2	2
knew well.	1	NA
knew, had saved a person, was false.	3	NA
knew, was also in english.	2	2
knighted, made him the highest ranking officer in the US Army. 	2	-1
laughed at, 	1	NA
let go of has become viral	2	2
liked very well.	1	NA
liked was actually falsifying records.	2	1
liked was to be promoted was accepted.	3	NA
likes stopped attending. 	2	1
lived next door to, actually wasn't angry at all.	2	1
looked after was a freak.	2	1
looked to for any and all knowledge, was a woman.	2	1
looked up to as a role model, was a cheater and a thief, hit hard.	3	NA
lost her life savings to.	1	NA
loved had left town upset the woman greatly. 	3	NA
loved might be coming to visit, sent a thrill though out her.	3	NA
loved, told to the congregation, left not a dry eye in the house.	3	NA
loved. 	1	NA
made fun of was a result of personal jealousy, sparks outrage among the community	3	NA
made fun of, called 911 at the spot proved that police was slow to respond. 	3	NA
met with was very impressive.	2	-1
missed was that no one liked him.	2	2
never trusted, turned out to be deceitful.	2	-1
of our country, was actually a mentally ill, sociopath surprised no one.	NA	NA
overheard, was shocked at the story that was being told.	2	1
owed her life to, was a local coastguard.	2	1
paid, wasn't a real taxi driver.	2	1
painted was American was incorrect.	3	NA
picked on for years successed shocked him. 	3	NA
picked on is set to become the next CEO of Apple makes me smile.	3	NA
picked on was moving, made him sad.	3	NA
picked out as having incredible talent and promise, was anything more than a gesture of belief and faith, was found to be untrue.	3	NA
pointed out as being the one she spoke to earlier was clearly false, because the office clerk is deaf.	2	2
portrays as a hero is incorrect and based on false assumptions	2	2
posed for a photo with, was having an affair was correct.	3	NA
previously thought to be a genius, was in fact right, the mayor was vindicated.	2	2
punched for being smart. 	1	NA
punched in the face turned out to a lie. 	2	2
put his vote and money behind was just not up to the job came as no surprise to the majority of the people.	3	NA
put in their headlines was innocent was upheld in court.	3	NA
quietly bribed behind closed doors was crooked was frankly an insult.	3	NA
ran away from, was well within his rights to take the book back.	2	1
rarely spoke to was mad came from the womans' husband.	3	NA
recommended for a promotion, dishonoured his career and resulted in his employment being terminated. 	2	2
recommended was in fact related to him, made the whole arrangement look very suspicious.	3	NA
referred to as "Dreaded Dan" was living a double life made his story sound like something from a movie. 	3	NA
regularly praised, was a murderer was covered up. 	3	NA
relied on, was not mad at all, was no surprise.	3	NA
remembers.	1	NA
reported to have comited a crime, was challenged.	2	-1
respected was recieved well. 	2	-1
roomed with was a drunk was proven to be true.	3	NA
said hit them as he drove past, was reported to the police. 	3	NA
said that they want be able to participate anymore. 	1	NA
saw, was real. 	2	2
secretly feared, was that he would one day be Prime Minister.	2	2
shared a studio with, was due to be demolished.	2	-1
shot at, is true.	2	2
shot, recovered eventually.	2	1
showed no remore towards both sickened and upset the courtroom in a way very few instances have.	2	2
signalled to for help was very experienced was incorrect.	3	NA
singled out for praise was anything other than based on merit and performance was just not true.	3	NA
slept with was very ill was widely held.	3	NA
spoke of highly, made a critical mistake 	2	1
spoke to earlier was emailed for his records.	2	2
spoke to was an ex Oxford student was wrong.	3	NA
spotted was in trouble paid a visit to their home this afternoon to express their gratitude.	NA	NA
stole from us been punished.	2	1
stole from was proved to be correct.	2	2
stole from, that he could go out of business was correct.	NA	NA
sued for removing the wrong eye, admitted in court that they had been high on drugs. 	2	1
supported by hosting a fundraiser, would likely support the banker's interests once she was elected has long been proven true.	3	NA
supported had won the competition was very well recieved.	3	NA
suspected may lack confidence to compete was proved to be correct.	3	NA
suspected of bribery, was correct.	2	2
suspected of keeping chickens in the house, confirmed where the smell was coming from.	2	-1
suspected of murder was insane turned out to be false.	3	NA
targeted particularly, was suffering at home as well.	2	1
tended, was the sole survivor, hushed the entire crowd.	3	NA
thanked, was given an award for his great effort.	2	1
thanked.	1	NA
the competition cheated, surprised the committee.	2	-1
the olympics, had been caught up in a scandal that had affected her chances at success.	2	1
this sentence doesn't make sense?	NA	NA
thought had a bright future.	1	NA
thought had great wisdom, allowed him to give advice to many individuals.	2	-1
thought had stolen her bag proved to be wrong.	2	2
thought had taken them the wrong way, was wrong.	2	2
thought of as an annoying person was actually a very polite gentleman	2	1
thought was a murderer turned out false. 	2	2
thought was a phoney turned out to be true.	2	2
thought was a saint, drank a hell of a lot of rum.	2	1
thought was behind organised crime in the city, brought the police to its knees.	2	-1
thought was being very suspicious lately.	1	NA
thought was extremist turned out true	2	2
thought was in a relationship with another teacher turned out true	2	2
thought was the brother of their window cleaner, was correct. 	2	2
thought was trustworthy, was incorrect.	2	2
thought was very bright turned out to be extremely careless	2	1
thought would die had a happy ending after all. 	2	-1
threatened was unnafected is good to hear.	3	NA
took a liking to was anything more than a professional courtesy was just not true.	3	NA
tried to get fired came to light this afternoon in a screaming match across the car park.	2	-1
tried to rob had no money, was accurate as the reason why the bookseller was so angry was because he hadn't sold a single book in months.	3	NA
tripped at the tape, was the actual winner, made everyone(except the psychiatrist)cheer.	3	NA
trusted was false.	2	2
trusted was gay made no difference whatsoever.	3	NA
trusted was not so savvy after all.	2	1
trusted, was wearing her like a glove.	2	1
used for all his dealings, was about to double cross him.	2	1
used for inspiration, suffered from a number of mental illnesses.	2	1
was a fan of, invented a new technology proved that he is a very talented person	3	NA
was accusing of tax evasion.	1	NA
was desperate to impress had complimented him on his work was a major achievement for the employee.	3	NA
was friends with was emotional.	2	1
was friends with, gave them special treatment.	2	1
was friends with, refused to sculpt a bust of his mother, made him sad.	3	NA
was hiding was caught.	2	1
was infatuated with, was married turned out to be a lie.	3	NA
was investigating should be locked up was unjust.	3	NA
was jealous of...	NA	NA
was scared of was real. 	2	2
was treating for mental exhaustion would not be prepared for the Olympics was patently false.	3	NA
was working on, had seen the horrific accident, made the medic's heart hurt.	3	NA
went to school with took bribes was all too typical.	3	NA
who which when or why does this sentence not make any sense 	NA	NA
withdrew their money from, had been drinking proved to be wrong. 	3	NA
worked with for 5 years, was to have a building named after them.	2	2
would trust with their secrets.	1	NA
 thought to be inattentive, was wrong.	2	2	NA
advised against was everyone's friend.	2	1	NA
all disliked, created an atmosphere in the neighbourhood.	2	NA
been saved by, was front-page news. 	2	NA
disliked came as no surprise.	2	NA
had an affair with was no surprise.	2	NA
had an affair with, was confirmed by his wife last night. 	2	NA
had arrested, was a correct gut feeling. 	2	NA
had attacked, will be able to walk confidently at night, is very ignorant. 	3	NA
had employed to show them around the city was not licensed had been confirmed.	3	NA
had employed was fake upset the whole office.	3	NA
had graded an A+, had cheated was not a surprise.  	3	NA
had illegally passed information to was confirmed by government last night.  	2	NA
had met previously at a market stall, was on the front page of the newspaper the next day. 	2	NA
had reported on for months, closed the ongoing case. 	2	NA
had robbed the previous year was still holding a grudge.	2	NA
had seen earlier that day was a welcomed surprise. 	2	NA
has come to trust, failed them at the last hurdle.	2	NA
intimidated was correct.	2	NA
just spoke to, was shredded to remove any trace of it. 	2	NA
loved, meant that the young violinist finished first in the recital. 	2	NA
recommended didn't run an orderly ship came as no surprise.	3	NA
saved from the accident lived another day.	2	NA
saved made everyone cheer.	2	NA
was inspired by, had arrived at the gallery opening was a dream-come-true. 	3	NA
