completion	workerid	condition	item	sentence1	slide_number	verbs	whichVerb
212	ganó 1 millón de euros es el mejor empleado del año lo puso muy contento	11	SC_RC	MEDIUM_0	El reconocimiento de que el empresario que 	39	3	NA
213	ganó el premio la semana pasada, ha si reveladora, ya que el robo todas las obras que se presentaron en la competencia.	7	SC_RC	MEDIUM_5	La información de que el escultor que 	21	2	NA
214	ganó el premio nacional de artes plasticas en realidad es mujer no era más que una estrategia publicitaria.	53	SC_RC	MEDIUM_4	La historia de que el escultor que 	8	3	NA
215	ganó la carrera estaba tomando drogas fue desmentida días después.	31	SC_RC	MEDIUM_3	La información de que el corredor que 	18	3	NA
216	ganó la loteria, haya hecho trampa está siendo investigado.	54	SC_RC	MEDIUM_3	El reporte de que el vendedor que 	31	3	NA
217	ganó la maratón estaba resfriado causó que su hazaña sea aún más impresionante.	29	SC_RC	MEDIUM_4	La información de que el corredor que 	31	3	NA
218	Ganó las olimpiadas haya hecho trampa es polémica 	24	SC_RC	MEDIUM_6	La creencia de que el corredor que 	40	3	NA
219	Ganó las olimpiadas tiene una pierna prostatica es verdad 	19	SC_RC	MEDIUM_8	La creencia de que el corredor que 	25	3	NA
220	ganó medalla de oro.	30	SC_RC	MEDIUM_2	El reporte de que el corredor que 	32	1	NA
221	gano tomaba drogas impresiono a los jueces. 	39	SC_RC	MEDIUM_10	La sospecha de que el corredor que 	24	3	NA
222	gano, no fue el que esperabamos. 	21	SC_RC	MEDIUM_7	La impresión de que el corredor que 	9	2	NA
223	golpeó a su vecino por opinar diferente que el fue confirmada por la hija de la victima	12	SC_RC	MEDIUM_9	La creencia de que el extremista que 	42	1	NA
224	grita está loco debe ser cierta. 	20	SC_RC	MEDIUM_10	La hipótesis de que el vecino que 	20	3	NA
225	ha estado al mando merece ir a la carcel	18	SC_RC	MEDIUM_8	El convencimiento de que el CEO que 	25	3	NA
226	ha estafado a decenas de personas sea de su misma ciudad va aumentando.	4	SC_RC	MEDIUM_10	La creencia de que el embaucador que 	9	3	NA
227	ha salvado varios cachorros es impresionante 	9	SC_RC	MEDIUM_3	El reconocimiento de que el comandante que 	18	2	NA
228	ha sufrido abusos suele intentar quitarse la vida es muy dura pero para ayudar hay que aceptarla.	4	SC_RC	MEDIUM_0	La realidad de que la víctima que 	36	3	NA
229	había aceptado fondos de forma ilegal era muy fuerte.	6	SC_RC	MEDIUM_1	La señal de que el político que 	24	2	NA
230	había cometido crimen, resultó siendo real 	43	SC_RC	MEDIUM_0	La ficción de que el criminal que 	11	2	NA
231	había comprado 451 rosquillas de chocolate era cierta y todos sus fans empezaron a comprarlas como locos.	74	SC_RC	MEDIUM_10	El rumor de que el actor que 	19	2	NA
232	había encontrado la cura contra el envejecimiento estaba borracho es cierta.	33	SC_RC	MEDIUM_0	La historia de que el científico que 	24	2	NA
233	había estado con la estudiante, era innegable 	43	SC_RC	MEDIUM_10	La conclusión de que el director que 	32	2	NA
234	había ganado la guerra.	30	SC_RC	MEDIUM_3	El sueño de que el comandante que 	36	1	NA
235	habia hecho la escultura de esa mujer se hubiese enamorado de ella, era totalmente falsa	2	SC_RC	MEDIUM_4	La ficción de que el escultor que 	29	3	NA
236	había hecho tal denuncia seguía ahí después de tanto, me parecía respetable. 	45	SC_RC	MEDIUM_7	La convicción de que el senador que 	21	NA	NA
237	había hecho una travesura.	30	SC_RC	MEDIUM_11	La sospecha de que el niño que 	12	1	NA
238	había imnotizado a cientos de niños con el sonido de una flauta, no era más que una leyenda inventada por un famoso escritor.	74	SC_RC	MEDIUM_11	La impresión de que el embaucador que 	35	2	NA
239	había muerto aún no había llegado.	57	SC_RC	MEDIUM_1	El reporte de que el empleado que 	19	2	NA
240	había muerto enfrente de él, había sido tan real que en todo el día no dejó de pensar en eso.	67	SC_RC	MEDIUM_0	El sueño de que la víctima que 	11	NA	NA
241	habia muerto,era fortificado	46	SC_RC	MEDIUM_5	El reporte de que el salvavidas que 	22	2	NA
242	había muerto.	30	SC_RC	MEDIUM_9	La convicción de que la víctima que 	15	1	NA
243	había perpetrado el hecho había sido encontrado era falsa.	45	SC_RC	MEDIUM_0	La información de que el criminal que 	9	NA	NA
244	había protagonizado la película fuera sincero fue puesto en duda por muchos periodistas.	50	SC_RC	MEDIUM_2	El reconocimiento de que el actor que 	21	2	NA
245	había realizado este trabajo era un genio como los del renacimiento, era un poco exagerado creía el escultor.	37	SC_RC	MEDIUM_1	El reporte de que el escultor que 	30	3	NA
246	habia robado dos gallinas era culpable	2	SC_RC	MEDIUM_10	La conclusión de que el criminal que 	14	2	NA
247	había robado las ganancias la otra noche, era alta. 	73	SC_RC	MEDIUM_9	La sospecha de que el empleado que 	26	2	NA
248	había robado, era sumamente desgarradora	43	SC_RC	MEDIUM_4	La realidad de que el empleado que 	36	2	NA
249	había sido asesinada en ese día no era verdad.	0	SC_RC	MEDIUM_8	El rumor de que la víctima que 	27	2	NA
250	había sido despedido demandó a la empresa, era falsa.	62	SC_RC	MEDIUM_3	La información de que el empresario que 	7	NA	NA
251	había sido despedido por irresponsable cumplió el objetivo de mantener el orden en la oficina.	50	SC_RC	MEDIUM_0	La ficción de que el empleado que 	13	2	NA
252	había sido despedido, no era tan interesante como los rumores                  	46	SC_RC	MEDIUM_4	La realidad de que el director que 	29	2	NA
253	había sido encontrado muerto la otra noche, eran solo rumores. 	73	SC_RC	MEDIUM_5	La historia de que el embaucador que 	15	2	NA
254	había sobornado al profesor, sería expulsado, resultó cierto	49	SC_RC	MEDIUM_11	El rumor de que el estudiante que 	38	3	NA
255	había venido de Alemania era cierta	55	SC_RC	MEDIUM_10	La impresión de que el violinista que 	11	2	NA
256	había venido le había mentido era alta.	73	SC_RC	MEDIUM_10	La certeza de que el vendedor que 	8	3	NA
257	había venido, sería encarcelado, era falsa. 	73	SC_RC	MEDIUM_2	La señal de que el extremista que 	17	3	NA
258	había vuelto de la muerte fue inventada por los niños del pueblo.	0	SC_RC	MEDIUM_0	La historia de que el predicador que 	19	2	NA
259	habían contratado fuera probada estaba a pocos pasos de ser una realidad. 	50	SC_RC	MEDIUM_7	La hipótesis de que el científico que 	24	3	NA
260	hablaba sobre la venida de cristo, era bastante preocupante 	43	SC_RC	MEDIUM_11	El hecho de que el predicador que 	21	2	NA
261	hablaba tan bien frente a todos, había sido asesinado por sus adversarios, era claro. 	73	SC_RC	MEDIUM_11	El hecho de que el senador que 	28	3	NA
262	hace buenos productos, lo hace con amor por sus clientes. 	64	SC_RC	MEDIUM_10	La certeza de que el empresario que 	41	2	NA
263	hace de JB en Outer Banks estaba saliendo con su compañera de reparto acabó siendo cierta.	72	SC_RC	MEDIUM_9	La hipótesis de que el actor que 	26	3	NA
264	hace esculturas es dificil de lograr.	39	SC_RC	MEDIUM_8	El convencimiento de que el escultor que 	7	NA	NA
265	hace la tarea es un buen estudiante. 	64	SC_RC	MEDIUM_0	La señal de que el niño que 	9	2	NA
266	Hace muchos libretos es dirigir una película	60	SC_RC	MEDIUM_4	El sueño de que el actor que 	20	2	NA
267	hacemos no es cierto.	13	SC_RC	MEDIUM_11	La hipótesis de que el extremista que 	26	2	NA
268	hemos visto hoy es corrupto, es falsa.	22	SC_RC	MEDIUM_7	La hipótesis de que el CEO que 	8	3	NA
269	hizo el papel del villano es en realidad un muy buen tipo, parece ser verdad.	36	SC_RC	MEDIUM_9	La hipótesis de que el actor que 	21	NA	NA
270	hizo el regalo para mi madre es un fraude me hizo sentir muy mal	11	SC_RC	MEDIUM_5	La información de que el escultor que 	12	3	NA
271	hizo esa estatua estaba ciego era obvio.	57	SC_RC	MEDIUM_10	El convencimiento de que el escultor que 	14	3	NA
272	Hizo explotar el reactor nuclear, es falso.	28	SC_RC	MEDIUM_7	El rumor de que el científico que 	20	2	NA
273	hizo fraude desde el 2015 ha sido desvelado de los archivos más antiguos de la policía.	67	SC_RC	MEDIUM_5	El reporte de que el vendedor que 	26	NA	NA
274	hizo la cirugia estaba borracho es falsa. 	21	SC_RC	MEDIUM_10	El rumor de que el cirujano que 	19	3	NA
275	hizo la conquista más grande del siglo, ha sido uno de los festejos más grandes que el país haya visto.	67	SC_RC	MEDIUM_2	El reconocimiento de que el comandante que 	38	NA	NA
276	hizo la estatua de bronce era muy talentoso quedó demostrada con el resultado.	36	SC_RC	MEDIUM_7	La convicción de que el escultor que 	39	NA	NA
277	hizo la estatua del campus en honor al rector es totalmente errónea	69	SC_RC	MEDIUM_6	La hipótesis de que el escultor que 	24	NA	NA
278	hizo la pelicula era mentiroso se comprobo.	39	SC_RC	MEDIUM_2	La realidad de que el director que 	12	NA	NA
279	hizo la película Lo imposible ganase una Goya, era el que se merecía.	72	SC_RC	MEDIUM_3	El reconocimiento de que el director que 	29	3	NA
280	hizo más vueltas fue toda una mentira, tomó a los aficionados por sorpresa.	67	SC_RC	MEDIUM_10	La conclusión de que el corredor que 	17	NA	NA
281	hizo millones de la noche a la mañana con una gran idea.	64	SC_RC	MEDIUM_1	La historia de que el CEO que 	27	1	NA
282	hizo trampa en la prueba lo van a expulsar, es correcto. 	13	SC_RC	MEDIUM_10	La conclusión de que el estudiante que 	10	3	NA
283	hizo un gran descubrimiento.	30	SC_RC	MEDIUM_0	La historia de que el científico que 	21	1	NA
284	hizo una escultura de la mona lisa tuvo mucho reconocimiento y fue aplaudido por el público.	5	SC_RC	MEDIUM_5	El reconocimiento de que el escultor que 	24	2	NA
285	hoy tendría un día muy fácil era muy alta, no se esperaba que el trabajo seria tan agotador con tanta gente en la playa.	37	SC_RC	MEDIUM_11	La certeza de que el salvavidas que 	8	NA	NA
286	Huyó del país ha sido encontrado, ha salido en todas las noticias 	19	SC_RC	MEDIUM_1	La historia de que el senador que 	40	3	NA
287	iba a abandonar era muy emotiva.	57	SC_RC	MEDIUM_2	La ficción de que el director que 	27	2	NA
288	iba a hacer la operación era excelente fue acertada	12	SC_RC	MEDIUM_6	La impresión de que el cirujano que 	23	3	NA
289	iba conmigo en primaria resultó ser hijo de un actor famoso era real.	48	SC_RC	MEDIUM_6	El hecho de que el niño que 	38	3	NA
290	iba de casa en casa, estaba loco, era un poco cierta. 	73	SC_RC	MEDIUM_7	La hipótesis de que el predicador que 	31	3	NA
291	iba ganando no estaba bien	18	SC_RC	MEDIUM_4	La señal de que el corredor que 	22	2	NA
292	impulsó la revolución se hiciera demócrata era justamente eso, un sueño.	1	SC_RC	MEDIUM_0	El sueño de que el comandante que 	9	3	NA
293	inauguro esas escuelas, esta bien merecido.	38	SC_RC	MEDIUM_5	El reconocimiento de que el senador que 	41	2	NA
294	incumplía las reglas fue imitada por todos los presentes.	45	SC_RC	MEDIUM_2	La señal de que el corredor que 	26	NA	NA
295	Infringió la ley, que fue presentada, es poco contundente.	69	SC_RC	MEDIUM_5	La prueba de que el extremista que 	42	3	NA
296	inicio Amazon ha logrado mas que otros se hará llegar a el pronto. 	39	SC_RC	MEDIUM_3	El reconocimiento de que el CEO que 	37	NA	NA
297	intentó crear energía en base de pensamientos es que no es posible.	29	SC_RC	MEDIUM_11	La conclusión de que el científico que 	33	2	NA
298	interpreta su papel es incluso mejor que él mismo en fingir su persona lo dejó asombrado.	53	SC_RC	MEDIUM_8	La impresión de que el actor que 	19	NA	NA
299	interpretaba el papel protagonista ha engañado a sus seguidores es real.	4	SC_RC	MEDIUM_9	La sospecha de que el actor que 	25	3	NA
300	inventó una cura ante una pandemia no obtuvo ningún tipo de merito ni compensación por salvar a millones de vidas.	5	SC_RC	MEDIUM_2	La realidad de que el científico que 	19	2	NA
301	jugó en Titanic falleció es falso	11	SC_RC	MEDIUM_4	El reporte de que el actor que 	28	3	NA
302	la acusación es verdadera yace en una grabación que tomo a escondidas del acusado.	37	SC_RC	MEDIUM_3	La prueba de que la víctima que 	10	NA	NA
303	la operó estaba borracho.	18	SC_RC	MEDIUM_10	El hecho de que el cirujano que 	17	2	NA
304	la policía persigue fue detenido se hizo a las 12:00 am.	33	SC_RC	MEDIUM_1	El reporte de que el mafioso que 	22	3	NA
305	le estaba hablando le sorprendió	46	SC_RC	MEDIUM_10	El convencimiento de que el extremista que 	7	2	NA
306	le gusto tu propuesta es que te estrechen la mano.	17	SC_RC	MEDIUM_5	La señal de que el empresario que 	8	2	NA
307	le había hecho la parada no tuviera música ruidosa le pareció una situación insostenible. 	6	SC_RC	MEDIUM_9	El hecho de que el taxista que 	13	3	NA
308	le había llevado al aeropuerto le había cobrado de más.	63	SC_RC	MEDIUM_9	La convicción de que el taxista que 	9	2	NA
309	le operó cometió una negligencia es abrumadora.	4	SC_RC	MEDIUM_8	La certeza de que el cirujano que 	11	3	NA
310	le pegó a esa otra actriz es ahora una bueno persona no es verdad.	23	SC_RC	MEDIUM_5	La ficción de que el actor que 	39	3	NA
311	le robaba a sus clientes ha sido llevada ante el ministerio público.	26	SC_RC	MEDIUM_2	La prueba de que el taxista que 	18	2	NA
312	le sonrió como nunca nadie lo había hecho y que no volvería a su vida, le parecía horrible.	45	SC_RC	MEDIUM_5	El sueño de que el taxista que 	17	NA	NA
313	lee todos los libros en su colección retiene la información es falsa.	31	SC_RC	MEDIUM_9	La creencia de que el librero que 	35	NA	NA
314	liberaba a toda la tripulación de las celdas se quedó en un simple sueño y nunca apareció ante su tripulación cautiva.	5	SC_RC	MEDIUM_0	El sueño de que el comandante que 	14	2	NA
315	llamaba a la puerta resultara ser un testigo de jehova resulto ser cierta	2	SC_RC	MEDIUM_6	La creencia de que el predicador que 	25	3	NA
316	llamó a la policía por el ruido nocturno es un exagerado, me parece desmesurada.	62	SC_RC	MEDIUM_9	La convicción de que el vecino que 	39	3	NA
317	llega a tarde es porque se ha quedado dormido suele ser real	2	SC_RC	MEDIUM_8	La convicción de que el niño que 	41	3	NA
318	llegó a urgencias no saldría con vida del hospital, por suerte, fue erróneo.	51	SC_RC	MEDIUM_4	El reconocimiento de que la víctima que 	16	3	NA
319	llegue antes al lugar es absurda	9	SC_RC	MEDIUM_11	La conclusión de que el taxista que 	41	2	NA
320	lleva al almacén del hospital es que en realidad es un pasadizo hacia otra dimensión.	48	SC_RC	MEDIUM_7	La creencia de que el corredor que 	16	2	NA
321	lleva la empresa realizaba las gestiones adecuadas llevó a toda la plantilla a la ruina.	5	SC_RC	MEDIUM_8	El convencimiento de que el CEO que 	10	3	NA
322	lleva la planta de tratamiento de residuos no le preocupa la contaminación es totalmente acertada tras los ultimos análisis del agua.	53	SC_RC	MEDIUM_9	La conclusión de que el empresario que 	42	3	NA
323	lleva lentes tiene ocho hijos me ha sorprendido. 	20	SC_RC	MEDIUM_3	La realidad de que el vendedor que 	29	3	NA
324	llevaba puesto la víctima fue saboteado, fue registrada por el investigador.	4	SC_RC	MEDIUM_5	La señal de que el salvavidas que 	14	3	NA
325	Llevaba Rose en titanic era innecesario es verdad 	19	SC_RC	MEDIUM_2	La información de que el salvavidas que 	10	3	NA
326	llevas debe ser activado, será el pitido de este silbato.	53	SC_RC	MEDIUM_3	La señal de que el salvavidas que 	12	2	NA
327	llevó a la empresa a la ruina no resultó ser cierta, puesto que no había constancia de que hubiera realizado malas gestiones durante su cargo.	74	SC_RC	MEDIUM_9	La hipótesis de que el CEO que 	25	2	NA
328	llora como lobo es verdad.	13	SC_RC	MEDIUM_4	La historia de que el niño que 	22	2	NA
329	lo desperto era una pesadilla.	10	SC_RC	MEDIUM_2	El sueño de que el cirujano que 	8	2	NA
330	lo estaba atendiendo era un traficante de drogas, era una de sus muchas alucinaciones	46	SC_RC	MEDIUM_1	La ficción de que el vendedor que 	27	3	NA
331	logro despojarse de su pasado, y termino con una vida completamente nueva.	40	SC_RC	MEDIUM_11	La convicción de que el embaucador que 	11	NA	NA
332	malversó fondos públicos había estado delante de nuestras narices todo este tiempo.	51	SC_RC	MEDIUM_1	La prueba de que el empresario que 	41	2	NA
333	mamá me regalo es muy útil 	9	SC_RC	MEDIUM_6	La impresión de que el librero que 	36	2	NA
334	mando esas fotos explícitas debería ser expulsado es una buen idea.	23	SC_RC	MEDIUM_9	La conclusión de que el senador que 	27	3	NA
335	mandó matar a Juancho lo hizo porque le debía dinero, será muy valiosa en la investigación	36	SC_RC	MEDIUM_3	La información de que el mafioso que 	37	3	NA
336	Maneja una gran empresa es inmoral, es falsa.	28	SC_RC	MEDIUM_4	La historia de que el CEO que 	18	3	NA
337	marcó el nuevo record mundial hizo trampa puede ser cierta.	51	SC_RC	MEDIUM_9	La hipótesis de que el corredor que 	22	2	NA
338	más delitos sin violencia comete lo hace por necesidad debería tenerse en cuenta en los juicios.	27	SC_RC	MEDIUM_1	La realidad de que el criminal que 	37	3	NA
339	mas dinero gana es Leonardo DiCaprio, la tienes en la revista Forbes.	41	SC_RC	MEDIUM_2	La prueba de que el actor que 	34	3	NA
340	más discute es el que menos sabe es totalmente verídica.	27	SC_RC	MEDIUM_8	La hipótesis de que el político que 	31	3	NA
341	mas entramiento tenia, fue completamente ignorada tras el nuevo contrincante logro ganarle la carrera.	40	SC_RC	MEDIUM_1	El reconocimiento de que el corredor que 	37	NA	NA
342	más labia tiene es al que mejor le salen las cosas es real.	27	SC_RC	MEDIUM_2	El reconocimiento de que el embaucador que 	24	3	NA
343	mas libros tenga es incorrecta.	17	SC_RC	MEDIUM_2	La ficción de que el librero que 	11	NA	NA
344	más quema coches es el más peligroso es mentira.	27	SC_RC	MEDIUM_5	La historia de que el extremista que 	17	3	NA
345	más tarde llega a la meta no se ha esforzado es horrible.	27	SC_RC	MEDIUM_7	El convencimiento de que el corredor que 	42	3	NA
346	más trabaja recibe más dinero, es cierto.	62	SC_RC	MEDIUM_4	El reconocimiento de que el empleado que 	15	3	NA
347	mataba disfrazado de payaso fue real.	5	SC_RC	MEDIUM_3	La ficción de que el criminal que 	40	2	NA
348	mató a Ernesto era en realidad un policía encubierto salió en la prensa hoy.	45	SC_RC	MEDIUM_11	La hipótesis de que el mafioso que 	37	3	NA
349	mató a esas personas, no es buena.	38	SC_RC	MEDIUM_9	La convicción de que el criminal que 	33	2	NA
350	mató a la maestra es justificada porque encontraron un cuchillo en su automóvil el siguiente día.	23	SC_RC	MEDIUM_7	La sospecha de que el mafioso que 	16	2	NA
351	mató a mi madre sale de la cárcel lo tengo cada noche. 	20	SC_RC	MEDIUM_5	El sueño de que el criminal que 	34	3	NA
352	mató a mis hijas será encarcelado.	63	SC_RC	MEDIUM_4	El sueño de que el criminal que 	20	2	NA
353	mató al paciente era inocente, era alto. 	73	SC_RC	MEDIUM_6	El convencimiento de que el cirujano que 	24	3	NA
354	mató semanas antes a otra chica de la misma forma era también el culpable del caso que estaban llevando los policías era casi imposible de desmentir.	72	SC_RC	MEDIUM_11	La certeza de que el criminal que 	41	3	NA
355	Me dieron es que es muy cansado	60	SC_RC	MEDIUM_7	La conclusión de que el empleado que 	23	2	NA
356	me estafó estaba conectado a su red social.	63	SC_RC	MEDIUM_5	El señal de que el embaucador que 	28	2	NA
357	me gusta se vaya a mudar me pone triste.	57	SC_RC	MEDIUM_11	El hecho de que el vecino que 	31	3	NA
358	me habló fue alzar el pulgar  	9	SC_RC	MEDIUM_2	La señal de que el niño que 	8	2	NA
359	me hiso mi decoracion fue estupenda.	15	SC_RC	MEDIUM_11	La hipótesis de que el escultor que 	8	2	NA
360	me llevaba al trabajo, lograría llegar en 10 minutos, resultó infundada 	49	SC_RC	MEDIUM_7	La certeza de que el taxista que 	31	3	NA
361	me llevaba me era familiar	12	SC_RC	MEDIUM_7	El convencimiento de que el taxista que 	8	2	NA
362	me llevó al hotel me estafó es horrible.	33	SC_RC	MEDIUM_7	La conclusión de que el taxista que 	26	3	NA
363	me llevó era drogadicto resultó ser falsa.	57	SC_RC	MEDIUM_0	La historia de que el taxista que 	40	3	NA
364	me mintió no probara el producto ante mis ojos me hizo comprar otro producto diferente	55	SC_RC	MEDIUM_8	El hecho de que el vendedor que 	36	3	NA
365	me operó era muy bueno era clara.	57	SC_RC	MEDIUM_9	La convicción de que el cirujano que 	34	3	NA
366	me operó haya estado embriagado, no me importa.	54	SC_RC	MEDIUM_5	La realidad de que el cirujano que 	27	3	NA
367	me operó luchó en la guerra de Vietnam.	63	SC_RC	MEDIUM_0	La historia de que el cirujano que 	25	2	NA
368	me quería, se había muerto, no era sueño, era realidad.	73	SC_RC	MEDIUM_1	El sueño de que el vecino que 	13	3	NA
369	me rescató es inepto es un reporte falso. 	20	SC_RC	MEDIUM_1	El reporte de que el salvavidas que 	26	3	NA
370	me rescató ni siquiera estaba de turno	12	SC_RC	MEDIUM_3	La prueba de que el salvavidas que 	12	3	NA
371	me salvo ayer era mi novio, no es verdad.	23	SC_RC	MEDIUM_10	El rumor de que el salvavidas que 	29	3	NA
372	me salvó la vida se haya ahogado me hace sentir muy culpable	11	SC_RC	MEDIUM_11	El hecho de que el salvavidas que 	23	3	NA
373	me sermonea me invite a un cubata es imposible.	33	SC_RC	MEDIUM_11	El hecho de que el director que 	8	3	NA
374	me siguió anoche es vergonzoso.	22	SC_RC	MEDIUM_4	El sueño de que el criminal que 	42	2	NA
375	me trajo acá es ciego, no tiene nada que ver con sus habilidades para conducir.	36	SC_RC	MEDIUM_6	El hecho de que el taxista que 	18	3	NA
376	mejoró la toma de decisiones en la cámara se le fue entregado la semana pasada.	0	SC_RC	MEDIUM_1	El reconocimiento de que el senador que 	8	2	NA
377	menos trabaja es el que más cobra me parece tristísimo.	27	SC_RC	MEDIUM_10	El hecho de que el empresario que 	15	3	NA
378	miente, es ver que hace durante su campaña.	17	SC_RC	MEDIUM_1	La prueba de que el político que 	13	2	NA
379	miras ahí, es que tiene los libros mas importantes de toda la biblioteca.	38	SC_RC	MEDIUM_4	La realidad de que el librero que 	21	2	NA
380	murio ayer era que no estaba solo.	8	SC_RC	MEDIUM_7	La hipótesis de que el extremista que 	10	2	NA
381	murió el año pasado fue atropellado intencionadamente.	63	SC_RC	MEDIUM_3	La realidad de que el niño que 	33	2	NA
382	murió era cómplice del robo	12	SC_RC	MEDIUM_0	La ficción de que la víctima que 	19	2	NA
383	murió sigue vivo fue hecha por un loco. 	20	SC_RC	MEDIUM_0	La señal de que el político que 	42	3	NA
384	nació en Argentina haya cumplido con todo lo que prometió es de mucho beneficio para su país 	24	SC_RC	MEDIUM_3	La prueba de que el político que 	23	3	NA
385	nació en Irlanda se mude a Egipto no es muy realista	24	SC_RC	MEDIUM_7	La certeza de que el embaucador que 	20	3	NA
386	nació en México participe en una orquesta internacional no es imposible 	24	SC_RC	MEDIUM_2	El sueño de que el violinista que 	15	3	NA
387	no aseguraba todas las horas de sus empleados llevó una sanción económica.	5	SC_RC	MEDIUM_1	El reporte de que el empresario que 	36	2	NA
388	no espere a sus clientes a entrar en sus viviendas pasa pocas veces	35	SC_RC	MEDIUM_6	La certeza de que el taxista que 	21	2	NA
389	no estudio no sirve es correcta.	21	SC_RC	MEDIUM_1	La realidad de que el empresario que 	30	3	NA
390	no había dicho nada era un mentiroso, les causo a los miembros de la junta un pánico tremendo.	6	SC_RC	MEDIUM_11	La certeza de que el director que 	28	3	NA
391	no hablaba con nadie era un hombre lobo parecía de lo más absurdo.	6	SC_RC	MEDIUM_3	La historia de que el vecino que 	7	3	NA
392	no hacia ruido habia muerto. 	39	SC_RC	MEDIUM_9	La hipótesis de que el vecino que 	10	2	NA
393	no hacía su tarea, es muy interesante.	64	SC_RC	MEDIUM_2	El reporte de que el estudiante que 	24	2	NA
394	no hiciera sus labores sería despedido, fue una invención del jefe de una empresa muy famosa para ahorrarse pagar indemnizaciones al despedir a alguien.	74	SC_RC	MEDIUM_1	La señal de que el empresario que 	31	3	NA
395	no invirtió en criptomonedas era bastante fuerte	55	SC_RC	MEDIUM_9	La convicción de que el CEO que 	28	2	NA
396	no juega esta triste puede ser cierta.	6	SC_RC	MEDIUM_8	La creencia de que el niño que 	32	3	NA
397	no limpiaba la sisterna es verdad.	25	SC_RC	MEDIUM_5	La ficción de que el empleado que 	23	2	NA
398	no mata a sus victimas, tiene aun moral fuera del crimen.	40	SC_RC	MEDIUM_7	La creencia de que el mafioso que 	9	2	NA
399	no miente no es político me da asco 	9	SC_RC	MEDIUM_7	La convicción de que el político que 	26	3	NA
400	no piense en sus propios derechos debe ser despedido es inhumana	35	SC_RC	MEDIUM_7	La conclusión de que el empleado que 	15	2	NA
401	no practique sera el mejor es falsa. 	21	SC_RC	MEDIUM_2	La ficción de que el escultor que 	17	3	NA
402	no sabía fingir, no era correcta del todo.	38	SC_RC	MEDIUM_2	La ficción de que el actor que 	23	2	NA
403	no sabía tocar guitarra tenia que hacerlo en el concierto le dio al director un ataque de pánico.	6	SC_RC	MEDIUM_6	La impresión de que el violinista que 	39	3	NA
404	no se acuerda de lo sucedido, complicó aún más el caso a los policías.	72	SC_RC	MEDIUM_0	La realidad de que la víctima que 	11	2	NA
405	no tiene una rutina antes de comenzar a grabar, no hace bien su trabajo, es falso.	28	SC_RC	MEDIUM_11	El hecho de que el actor que 	27	3	NA
406	nos casó se fue de la iglesia.	18	SC_RC	MEDIUM_1	La historia de que el predicador que 	9	2	NA
407	nos despidió era corrupto fue confirmada meses más tarde en el juicio.	31	SC_RC	MEDIUM_10	La convicción de que el CEO que 	20	3	NA
408	nos dieron estaba facil.	15	SC_RC	MEDIUM_2	La prueba de que el salvavidas que 	19	2	NA
409	nos encontramos en el mercado no era un mendigo me costó interiorizarlo.	72	SC_RC	MEDIUM_10	El convencimiento de que el vendedor que 	39	3	NA
410	nos encontramos fue raro.	15	SC_RC	MEDIUM_4	El reconocimiento de que el predicador que 	27	2	NA
411	nos está entrenando, está cansado, significa que hay que estar atentos.	54	SC_RC	MEDIUM_0	La señal de que el comandante que 	12	3	NA
412	nos estafó se salió con la suya es una reflexión de la terrible situación de nuestro sistema judicial.	31	SC_RC	MEDIUM_7	La conclusión de que el embaucador que 	23	3	NA
413	nos evaluó estaba enojado con nosotros es dudosa.	62	SC_RC	MEDIUM_7	La conclusión de que el director que 	32	3	NA
414	nos gritó volvía a matarnos	18	SC_RC	MEDIUM_2	El sueño de que el extremista que 	41	2	NA
415	nos gusta no es una buena persona	18	SC_RC	MEDIUM_11	La impresión de que el actor que 	36	2	NA
416	nos lidera es un buen hombre	18	SC_RC	MEDIUM_6	La creencia de que el comandante que 	19	2	NA
417	nos llevó a casa el otro día era un espía, es bastante improbable.	62	SC_RC	MEDIUM_0	La ficción de que el taxista que 	36	3	NA
418	nos llevó, nos cobró menos de lo que costaba el viaje. 	18	SC_RC	MEDIUM_3	La prueba de que el taxista que 	11	2	NA
419	nos llevo, nos haya estafado, es correcta.	38	SC_RC	MEDIUM_8	La certeza de que el taxista que 	28	3	NA
420	nos quería fuera de la escuela, falló. 	3	SC_RC	MEDIUM_1	La prueba de que el director que 	22	2	NA
421	nos recibió con los brazos abiertos el primer día se esfumó cuando vimos su expresión de desdén.	31	SC_RC	MEDIUM_0	El sueño de que el director que 	29	2	NA
422	nos regaño ayer es muy estricto es cierto.	17	SC_RC	MEDIUM_9	El rumor de que el comandante que 	34	3	NA
423	nos ve los martes quiere ayudarnos a ganar, es su dedicación y amabilidad.	29	SC_RC	MEDIUM_3	La prueba de que el comandante que 	16	3	NA
424	nos vendió esta chatarra, me hace desconfiar en la gente.	54	SC_RC	MEDIUM_8	El hecho de que el embaucador que 	9	2	NA
425	nos vendio la casa es bastante buena.	17	SC_RC	MEDIUM_6	La impresión de que el vendedor que 	24	2	NA
426	nos vio por la iglesia el día de ayer a sido confirmada	9	SC_RC	MEDIUM_9	La sospecha de que el predicador que 	10	3	NA
427	nunca cierra la puerta del portal por las noches es el del segundo piso es obvia si tenemos en cuenta sus habituales horarios nocturnos, que solo le aplican a él.	1	SC_RC	MEDIUM_9	La sospecha de que el vecino que 	27	3	NA
