condition	correct_answer	given_answer	item	rating	sentence	slide_number	workerid
filler	NA	NA	filler	2	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	8	29
filler	NA	NA	filler	1	The principal criticized the instructors for the program.	9	29
filler	NA	NA	filler	1	The student petitioned the professors regarding the course.	10	29
0	NA	NA	9	2	The suggestion that the military commander who the president appointed last month was pushing for war troubled people.	11	29
filler	NA	NA	filler	1	The officer cautioned the driver about the explorer who was talking on the phone while driving.	12	29
filler	NA	NA	filler	4	The critic complimented the director about the play who was asked to write the screenplay.	13	29
filler	NA	NA	filler	3	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	14	29
2	NA	NA	3	4	The confirmation that the successful CEO who the employee impressed with his enthusiam was entirely correct.	15	29
0	NA	NA	0	3	The report that the conservative senator who the diplomat opposed in the election won in the run-off really made him angry.	16	29
filler	N	N	filler	1	The two children walked slowly in front of their mother as they gradually approached the playground.	17	29
0	NA	NA	17	3	The proof that the old preacher who the parishioners fired yesterday stole money from the church proved to be true.	18	29
filler	NA	NA	filler	2	The neighbor approached the owner about the dog who was building a doghouse over the property line.	19	29
filler	NA	NA	filler	2	The parent called the teacher about the class who was giving bad grades to foreign students.	20	29
filler	NA	NA	filler	2	The activist petitioned the sponsor about the bill who was speaking out against immigration.	21	29
filler	NA	NA	filler	1	The publisher complimented the editors on the magazine.	22	29
filler	N	N	filler	1	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	23	29
2	NA	NA	18	2	The admission that the leading man who the starlet fell in love with almost made her cry.	24	29
2	NA	NA	6	3	The reminder that the shady trader who the businessman consulted for advice was confirmed.	25	29
filler	NA	NA	filler	1	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	26	29
0	NA	NA	7	2	The rumor that the famous sculptor who the painter admired more than anyone wasn't talented was completely untrue.	27	29
2	NA	NA	15	2	The claim that the frightened child who the medic rescued from the flood relieved everyone.	28	29
2	NA	NA	12	3	The inkling that the office clerk who the customer called on the phone seemed absurd.	29	29
filler	NA	NA	filler	4	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	30	29
filler	N	N	filler	1	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	31	29
filler	N	N	filler	1	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	32	29
filler	NA	NA	filler	2	The chairman consulted the executive about the company who was playing golf at the country club.	33	29
filler	Y	Y	filler	3	The librarian delivered the books with many photographs to the building which depicted horses.	34	29
filler	NA	NA	filler	2	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	35	29
filler	NA	NA	filler	1	The agent approached the publicists about the photo-shoot.	36	29
filler	NA	NA	filler	2	The republican challenged the president about the nation who was elected by the left-wing opposition.	37	29
filler	Y	Y	filler	5	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	38	29
0	NA	NA	4	3	The information that the marathon runner who the psychiatrist treated for his illness was actually doping was ridiculous.	39	29
filler	NA	NA	filler	3	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	40	29
2	NA	NA	1	2	The story that the alleged criminal who the officer arrested after the murder was entirely bogus.	41	29
0	NA	NA	14	1	The idea that the marketing whiz who the artist had hired was a fraud shocked everyone.	42	29
filler	Y	Y	filler	1	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	43	29
2	NA	NA	5	2	The evidence that the suspected mobster who the media portrayed in detail turned out to be true.	44	29
filler	NA	NA	filler	2	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	45	29
filler	NA	NA	filler	1	The reporter interviewed the actors about the movie.	46	29
0	NA	NA	19	2	The declaration that the college student who the professor accused of cheating was dropping the class made the professor happy.	47	29
filler	Y	Y	filler	1	The board of directors announced that the business acquisition strategy was proceeding as planned.	48	29
filler	Y	Y	filler	4	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	49	29
filler	NA	NA	filler	1	The counselor consoled the students about the competition.	50	29
filler	NA	NA	filler	1	The reporter approached the victim about the attack who was injured by the suicide bomber.	51	29
filler	NA	NA	filler	2	The professor said that the student that the committee that was visiting picked would present at the conference.	52	29
filler	NA	NA	filler	2	The principal questioned the member about the clique who was mouthing off to teachers.	53	29
2	NA	NA	10	2	The revelation that the savvy politician who the banker gave thousands of dollars came as a shock to his supporters.	54	29
filler	NA	NA	filler	1	The sportscaster interviewed the captain about the team who was leading his team to the championship.	55	29
2	NA	NA	16	3	The news that the famous surgeon who the patient accused of malpractice was not a surprise.	56	29
filler	Y	Y	filler	1	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	57	29
0	NA	NA	2	3	The disclosure that the school principal who the teacher had an affair with had been fired was quoted in the newspaper.	58	29
filler	N	N	filler	1	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	59	29
filler	Y	Y	filler	2	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	60	29
filler	N	N	filler	2	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	61	29
filler	Y	Y	filler	3	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	62	29
filler	NA	NA	filler	2	The homeowner consulted the architect about the house who was worried about being behind schedule.	63	29
filler	N	N	filler	1	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	64	29
filler	NA	NA	filler	1	The host complimented the author about the book who was being interviewed on all the talk shows.	65	29
0	NA	NA	11	2	The belief that the young violinist who the sponsors backed financially abused drugs is likely true.	66	29
filler	NA	NA	filler	2	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	67	29
filler	Y	Y	filler	2	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	68	29
2	NA	NA	8	4	The thought that the violent extremist who the agent had just tracked down was disconcerting.	69	29
0	NA	NA	13	2	The suspicion that the injured victims who the criminal had assaulted were going to survive calmed everyone down.	70	29
filler	N	N	filler	2	The delivery man left the package with two labels on the porch which were printed with an address.	71	29
filler	NA	NA	filler	1	The salesman called the buyer about the rifle who was looking for antiques from the war.	72	29
filler	Y	Y	filler	2	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	73	29
filler	Y	N	filler	1	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	74	29
filler	NA	NA	filler	2	The principal criticized the instructors for the program.	7	30
filler	N	N	filler	3	The florist sent the flowers on the table to the boy that were very expensive.	8	30
filler	NA	NA	filler	2	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	9	30
0	NA	NA	3	5	The confirmation that the famous sculptor who the painter admired more than anyone wasn't talented was completely untrue.	10	30
filler	Y	Y	filler	1	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	11	30
0	NA	NA	19	4	The declaration that the marketing whiz who the artist had hired was a fraud shocked everyone.	12	30
filler	Y	Y	filler	2	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	13	30
0	NA	NA	6	3	The reminder that the frightened child who the medic rescued from the flood was completely unharmed relieved everyone.	14	30
filler	Y	Y	filler	5	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	15	30
filler	N	N	filler	1	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	16	30
filler	Y	Y	filler	4	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	17	30
filler	N	N	filler	3	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	18	30
filler	Y	Y	filler	4	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	19	30
filler	NA	NA	filler	3	The parent called the teacher about the class who was giving bad grades to foreign students.	20	30
filler	NA	NA	filler	3	The homeowner consulted the architect about the house who was worried about being behind schedule.	21	30
2	NA	NA	18	4	The admission that the successful CEO who the employee impressed with his enthusiam was entirely correct.	22	30
filler	Y	Y	filler	5	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	23	30
2	NA	NA	7	4	The rumor that the college student who the professor accused of cheating made the professor happy.	24	30
2	NA	NA	16	3	The news that the military commander who the president appointed last month troubled people.	25	30
filler	N	N	filler	1	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	26	30
2	NA	NA	15	2	The claim that the shady trader who the businessman consulted for advice was confirmed.	27	30
filler	NA	NA	filler	4	The professor said that the student that the committee that was visiting picked would present at the conference.	28	30
filler	NA	NA	filler	1	The counselor consoled the students about the competition.	29	30
0	NA	NA	10	4	The revelation that the marathon runner who the psychiatrist treated for his illness was actually doping was ridiculous.	30	30
filler	NA	NA	filler	2	The salesman called the buyer about the rifle who was looking for antiques from the war.	31	30
filler	Y	Y	filler	2	The librarian delivered the books with many photographs to the building which depicted horses.	32	30
filler	NA	NA	filler	2	The chairman consulted the executive about the company who was playing golf at the country club.	33	30
0	NA	NA	14	3	The idea that the conservative senator who the diplomat opposed in the election won in the run-off really made him angry.	34	30
filler	NA	NA	filler	2	The principal questioned the member about the clique who was mouthing off to teachers.	35	30
filler	Y	Y	filler	1	The board of directors announced that the business acquisition strategy was proceeding as planned.	36	30
filler	NA	NA	filler	3	The officer cautioned the driver about the explorer who was talking on the phone while driving.	37	30
filler	N	N	filler	2	The delivery man left the package with two labels on the porch which were printed with an address.	38	30
filler	NA	NA	filler	2	The reporter approached the victim about the attack who was injured by the suicide bomber.	39	30
filler	NA	NA	filler	1	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	40	30
filler	Y	Y	filler	1	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	41	30
filler	NA	NA	filler	3	The neighbor approached the owner about the dog who was building a doghouse over the property line.	42	30
filler	N	N	filler	1	The two children walked slowly in front of their mother as they gradually approached the playground.	43	30
filler	NA	NA	filler	3	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	44	30
filler	Y	Y	filler	3	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	45	30
filler	NA	NA	filler	1	The agent approached the publicists about the photo-shoot.	46	30
filler	N	N	filler	1	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	47	30
filler	NA	NA	filler	2	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	48	30
filler	NA	NA	filler	1	The publisher complimented the editors on the magazine.	49	30
0	NA	NA	12	4	The inkling that the school principal who the teacher had an affair with had been fired was quoted in the newspaper.	50	30
filler	N	N	filler	2	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	51	30
0	NA	NA	4	3	The information that the suspected mobster who the media portrayed in detail was on the run turned out to be true.	52	30
filler	NA	NA	filler	2	The student petitioned the professors regarding the course.	53	30
filler	NA	NA	filler	3	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	54	30
filler	NA	NA	filler	3	The critic complimented the director about the play who was asked to write the screenplay.	55	30
filler	NA	NA	filler	3	The activist petitioned the sponsor about the bill who was speaking out against immigration.	56	30
filler	NA	NA	filler	4	The sportscaster interviewed the captain about the team who was leading his team to the championship.	57	30
2	NA	NA	13	3	The suspicion that the savvy politician who the banker gave thousands of dollars came as a shock to his supporters.	58	30
2	NA	NA	11	2	The belief that the office clerk who the customer called on the phone seemed absurd.	59	30
2	NA	NA	5	2	The evidence that the famous surgeon who the patient accused of malpractice was not a surprise.	60	30
2	NA	NA	0	3	The report that the young violinist who the sponsors backed financially is likely true.	61	30
filler	NA	NA	filler	2	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	62	30
0	NA	NA	1	2	The story that the old preacher who the parishioners fired yesterday stole money from the church proved to be true.	63	30
filler	NA	NA	filler	3	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	64	30
filler	NA	NA	filler	4	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	65	30
0	NA	NA	17	4	The proof that the violent extremist who the agent had just tracked down was going to get an award was disconcerting.	66	30
0	NA	NA	8	2	The thought that the alleged criminal who the officer arrested after the murder was not in fact guilty was entirely bogus.	67	30
2	NA	NA	9	4	The suggestion that the injured victims who the criminal had assaulted calmed everyone down.	68	30
2	NA	NA	2	3	The disclosure that the leading man who the starlet fell in love with almost made her cry.	69	30
filler	N	N	filler	1	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	70	30
filler	NA	NA	filler	1	The reporter interviewed the actors about the movie.	71	30
filler	NA	NA	filler	2	The host complimented the author about the book who was being interviewed on all the talk shows.	72	30
filler	NA	NA	filler	4	The republican challenged the president about the nation who was elected by the left-wing opposition.	73	30
filler	Y	Y	filler	1	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	74	30
filler	NA	NA	filler	1	The principal criticized the instructors for the program.	7	31
filler	N	N	filler	3	The florist sent the flowers on the table to the boy that were very expensive.	8	31
filler	NA	NA	filler	2	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	9	31
0	NA	NA	14	2	The idea that the marketing whiz who the artist had hired was a fraud shocked everyone.	10	31
2	NA	NA	15	4	The claim that the savvy politician who the banker gave thousands of dollars came as a shock to his supporters.	11	31
0	NA	NA	2	4	The disclosure that the suspected mobster who the media portrayed in detail was on the run turned out to be true.	12	31
filler	NA	NA	filler	3	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	13	31
filler	NA	NA	filler	1	The agent approached the publicists about the photo-shoot.	14	31
filler	NA	NA	filler	1	The counselor consoled the students about the competition.	15	31
filler	NA	NA	filler	3	The chairman consulted the executive about the company who was playing golf at the country club.	16	31
filler	NA	NA	filler	3	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	17	31
filler	NA	NA	filler	5	The critic complimented the director about the play who was asked to write the screenplay.	18	31
filler	N	N	filler	3	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	19	31
filler	Y	Y	filler	3	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	20	31
filler	NA	NA	filler	3	The officer cautioned the driver about the explorer who was talking on the phone while driving.	21	31
0	NA	NA	5	4	The evidence that the alleged criminal who the officer arrested after the murder was not in fact guilty was entirely bogus.	22	31
filler	N	N	filler	3	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	23	31
filler	NA	NA	filler	1	The reporter interviewed the actors about the movie.	24	31
filler	N	N	filler	2	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	25	31
filler	NA	NA	filler	4	The republican challenged the president about the nation who was elected by the left-wing opposition.	26	31
2	NA	NA	13	5	The suspicion that the successful CEO who the employee impressed with his enthusiam was entirely correct.	27	31
filler	NA	NA	filler	4	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	28	31
2	NA	NA	17	3	The proof that the military commander who the president appointed last month troubled people.	29	31
filler	Y	Y	filler	3	The board of directors announced that the business acquisition strategy was proceeding as planned.	30	31
filler	N	N	filler	3	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	31	31
0	NA	NA	18	5	The admission that the college student who the professor accused of cheating was dropping the class made the professor happy.	32	31
filler	NA	NA	filler	4	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	33	31
filler	NA	NA	filler	2	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	34	31
filler	NA	NA	filler	4	The host complimented the author about the book who was being interviewed on all the talk shows.	35	31
filler	NA	NA	filler	4	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	36	31
2	NA	NA	11	4	The belief that the leading man who the starlet fell in love with almost made her cry.	37	31
0	NA	NA	0	4	The report that the famous sculptor who the painter admired more than anyone wasn't talented was completely untrue.	38	31
2	NA	NA	4	3	The information that the violent extremist who the agent had just tracked down was disconcerting.	39	31
filler	NA	NA	filler	3	The neighbor approached the owner about the dog who was building a doghouse over the property line.	40	31
2	NA	NA	3	3	The confirmation that the school principal who the teacher had an affair with was quoted in the newspaper.	41	31
filler	NA	NA	filler	3	The reporter approached the victim about the attack who was injured by the suicide bomber.	42	31
filler	NA	NA	filler	2	The student petitioned the professors regarding the course.	43	31
0	NA	NA	16	4	The news that the marathon runner who the psychiatrist treated for his illness was actually doping was ridiculous.	44	31
filler	Y	Y	filler	3	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	45	31
0	NA	NA	6	3	The reminder that the famous surgeon who the patient accused of malpractice had a fake degree was not a surprise.	46	31
filler	Y	Y	filler	3	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	47	31
0	NA	NA	10	4	The revelation that the young violinist who the sponsors backed financially abused drugs is likely true.	48	31
2	NA	NA	19	5	The declaration that the old preacher who the parishioners fired yesterday proved to be true.	49	31
2	NA	NA	7	4	The rumor that the shady trader who the businessman consulted for advice was confirmed.	50	31
filler	N	N	filler	3	The two children walked slowly in front of their mother as they gradually approached the playground.	51	31
filler	NA	NA	filler	4	The professor said that the student that the committee that was visiting picked would present at the conference.	52	31
0	NA	NA	9	4	The suggestion that the conservative senator who the diplomat opposed in the election won in the run-off really made him angry.	53	31
filler	NA	NA	filler	4	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	54	31
filler	NA	NA	filler	4	The salesman called the buyer about the rifle who was looking for antiques from the war.	55	31
filler	NA	NA	filler	2	The publisher complimented the editors on the magazine.	56	31
filler	NA	NA	filler	3	The parent called the teacher about the class who was giving bad grades to foreign students.	57	31
2	NA	NA	1	4	The story that the office clerk who the customer called on the phone seemed absurd.	58	31
2	NA	NA	8	4	The thought that the frightened child who the medic rescued from the flood relieved everyone.	59	31
filler	Y	Y	filler	4	The librarian delivered the books with many photographs to the building which depicted horses.	60	31
filler	N	Y	filler	3	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	61	31
filler	N	N	filler	4	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	62	31
filler	Y	Y	filler	4	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	63	31
filler	NA	NA	filler	3	The activist petitioned the sponsor about the bill who was speaking out against immigration.	64	31
filler	Y	Y	filler	5	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	65	31
filler	N	N	filler	4	The delivery man left the package with two labels on the porch which were printed with an address.	66	31
filler	NA	NA	filler	4	The homeowner consulted the architect about the house who was worried about being behind schedule.	67	31
filler	Y	Y	filler	4	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	68	31
filler	NA	NA	filler	3	The principal questioned the member about the clique who was mouthing off to teachers.	69	31
filler	Y	Y	filler	5	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	70	31
filler	Y	Y	filler	3	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	71	31
filler	Y	Y	filler	4	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	72	31
0	NA	NA	12	4	The inkling that the injured victims who the criminal had assaulted were going to survive calmed everyone down.	73	31
filler	NA	NA	filler	3	The sportscaster interviewed the captain about the team who was leading his team to the championship.	74	31
filler	N	N	filler	3	The florist sent the flowers on the table to the boy that were very expensive.	7	32
filler	NA	NA	filler	4	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	8	32
filler	NA	NA	filler	1	The principal criticized the instructors for the program.	9	32
filler	Y	Y	filler	2	The librarian delivered the books with many photographs to the building which depicted horses.	10	32
filler	N	N	filler	2	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	11	32
filler	Y	Y	filler	4	The man that drove the car that had the paint job that was peeling ran into a pedestrian.	12	32
filler	Y	Y	filler	2	Jonathan will buy the red sports car from the dealer as soon as he returns from his vacation in the Caribbean.	13	32
filler	Y	Y	filler	1	The board of directors announced that the business acquisition strategy was proceeding as planned.	14	32
0	NA	NA	7	2	The rumor that the shady trader who the businessman consulted for advice acted on insider information was confirmed.	15	32
filler	NA	NA	filler	1	The reporter interviewed the actors about the movie.	16	32
filler	N	N	filler	1	The two children walked slowly in front of their mother as they gradually approached the playground.	17	32
filler	N	N	filler	2	Since when it storms, the grass gets wet, the landscaper can't cut the grass, the garden will be overgrown.	18	32
2	NA	NA	17	5	The proof that the military commander who the president appointed last month troubled people.	19	32
filler	Y	Y	filler	1	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	20	32
filler	N	N	filler	1	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	21	32
filler	NA	NA	filler	1	The salesman called the buyer about the rifle who was looking for antiques from the war.	22	32
2	NA	NA	15	5	The claim that the alleged criminal who the officer arrested after the murder was entirely bogus.	23	32
2	NA	NA	18	4	The admission that the famous sculptor who the painter admired more than anyone was completely untrue.	24	32
filler	NA	NA	filler	3	The policeman questioned the driver about the bus who was directing tourists to the restricted ruins.	25	32
2	NA	NA	1	4	The story that the famous surgeon who the patient accused of malpractice was not a surprise.	26	32
0	NA	NA	3	1	The confirmation that the injured victims who the criminal had assaulted were going to survive calmed everyone down.	27	32
0	NA	NA	16	3	The news that the marathon runner who the psychiatrist treated for his illness was actually doping was ridiculous.	28	32
2	NA	NA	9	4	The suggestion that the leading man who the starlet fell in love with almost made her cry.	29	32
filler	Y	Y	filler	2	The lecturer spoke to the man in the classroom wearing a blue suit which had good seating and blackboards.	30	32
filler	N	N	filler	3	The delivery man left the package with two labels on the porch which were printed with an address.	31	32
0	NA	NA	5	1	The evidence that the college student who the professor accused of cheating was dropping the class made the professor happy.	32	32
2	NA	NA	6	3	The reminder that the conservative senator who the diplomat opposed in the election really made him angry.	33	32
filler	Y	Y	filler	5	Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.	34	32
filler	NA	NA	filler	4	The critic complimented the director about the play who was asked to write the screenplay.	35	32
filler	NA	NA	filler	3	The professor said that the student that the committee that was visiting picked would present at the conference.	36	32
filler	NA	NA	filler	4	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	37	32
filler	NA	NA	filler	1	The publisher complimented the editors on the magazine.	38	32
filler	NA	NA	filler	2	The activist petitioned the sponsor about the bill who was speaking out against immigration.	39	32
0	NA	NA	19	2	The declaration that the savvy politician who the banker gave thousands of dollars was laundering money came as a shock to his supporters.	40	32
filler	NA	NA	filler	2	The scientist challenged the inventor about the drug who was claiming to have found a cure for cancer.	41	32
filler	NA	NA	filler	4	The neighbor approached the owner about the dog who was building a doghouse over the property line.	42	32
0	NA	NA	0	2	The report that the frightened child who the medic rescued from the flood was completely unharmed relieved everyone.	43	32
filler	NA	NA	filler	1	The student petitioned the professors regarding the course.	44	32
filler	Y	Y	filler	5	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	45	32
filler	Y	Y	filler	1	The police officer will guard the crosswalk as the children pass by on the way to elementary school.	46	32
filler	NA	NA	filler	1	The agent approached the publicists about the photo-shoot.	47	32
0	NA	NA	14	3	The idea that the successful CEO who the employee impressed with his enthusiam wanted to retire was entirely correct.	48	32
filler	Y	Y	filler	4	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	49	32
filler	NA	NA	filler	2	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	50	32
filler	NA	NA	filler	4	Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.	51	32
filler	N	N	filler	1	Harvard University recently purchased a large tract of land to be used as a new boathouse for the rowing team.	52	32
filler	NA	NA	filler	4	The homeowner consulted the architect about the house who was worried about being behind schedule.	53	32
2	NA	NA	2	2	The disclosure that the school principal who the teacher had an affair with was quoted in the newspaper.	54	32
2	NA	NA	4	3	The information that the office clerk who the customer called on the phone seemed absurd.	55	32
filler	NA	NA	filler	3	The host complimented the author about the book who was being interviewed on all the talk shows.	56	32
0	NA	NA	11	4	The belief that the suspected mobster who the media portrayed in detail was on the run turned out to be true.	57	32
filler	NA	NA	filler	1	The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.	58	32
0	NA	NA	8	1	The thought that the violent extremist who the agent had just tracked down was going to get an award was disconcerting.	59	32
0	NA	NA	12	1	The inkling that the young violinist who the sponsors backed financially abused drugs is likely true.	60	32
2	NA	NA	10	5	The revelation that the marketing whiz who the artist had hired shocked everyone.	61	32
filler	NA	NA	filler	1	The counselor consoled the students about the competition.	62	32
filler	Y	Y	filler	1	When my father lived in Australia, he would often go surfing along the coastal waters of Melbourne.	63	32
filler	NA	NA	filler	4	The parent called the teacher about the class who was giving bad grades to foreign students.	64	32
filler	N	N	filler	1	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	65	32
filler	N	N	filler	1	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	66	32
2	NA	NA	13	4	The suspicion that the old preacher who the parishioners fired yesterday proved to be true.	67	32
filler	NA	NA	filler	3	The republican challenged the president about the nation who was elected by the left-wing opposition.	68	32
filler	NA	NA	filler	5	The chairman consulted the executive about the company who was playing golf at the country club.	69	32
filler	NA	NA	filler	1	The officer cautioned the driver about the explorer who was talking on the phone while driving.	70	32
filler	NA	NA	filler	5	The sportscaster interviewed the captain about the team who was leading his team to the championship.	71	32
filler	NA	NA	filler	1	The principal questioned the member about the clique who was mouthing off to teachers.	72	32
filler	NA	NA	filler	2	This morning, a manager stayed who is rarely in the office so the employees were very well behaved.	73	32
filler	NA	NA	filler	3	The reporter approached the victim about the attack who was injured by the suicide bomber.	74	32
filler	NA	NA	filler	2	The socialite praised the hostess about the party who was preparing a fresh batch of punch.	7	33
filler	NA	NA	filler	1	The principal criticized the instructors for the program.	8	33
filler	N	N	filler	1	The florist sent the flowers on the table to the boy that were very expensive.	9	33
filler	NA	NA	filler	3	The colonel cautioned the commander about the platoon who was ordering the troops to continue fighting.	10	33
0	NA	NA	11	2	The belief that the injured victims who the criminal had assaulted were going to survive calmed everyone down.	11	33
filler	NA	NA	filler	2	The activist petitioned the sponsor about the bill who was speaking out against immigration.	12	33
filler	N	N	filler	2	The astronaut flew the spaceship with three tanks to the moon which were filled with fuel.	13	33
filler	Y	Y	filler	2	When the boat on the shore Philip reached try to start the engine and escape from the soldiers he did.	14	33
2	NA	NA	3	2	The confirmation that the office clerk who the customer called on the phone seemed absurd.	15	33
2	NA	NA	8	2	The thought that the successful CEO who the employee impressed with his enthusiam was entirely correct.	16	33
2	NA	NA	4	2	The information that the school principal who the teacher had an affair with was quoted in the newspaper.	17	33
filler	N	N	filler	2	The city of San Francisco is considered an expensive place to live, as rental rates routinely approach thousands of dollars.	18	33
filler	NA	NA	filler	2	The officer cautioned the driver about the explorer who was talking on the phone while driving.	19	33
filler	NA	NA	filler	2	The student petitioned the instructor about the college who was writing a thesis on Philosophy.	20	33
filler	N	N	filler	2	Maple trees are classified as deciduous, whereas Norwegian pines are considered to be evergreen.	21	33
filler	NA	NA	filler	2	The principal questioned the member about the clique who was mouthing off to teachers.	22	33
filler	Y	Y	filler	2	The soccer team easily defeated their opponents with an impressive show of speed, cleverness and tenacity.	23	33
filler	NA	NA	filler	2	The host complimented the author about the book who was being interviewed on all the talk shows.	24	33
filler	NA	NA	filler	2	The reporter approached the victim about the attack who was injured by the suicide bomber.	25	33
2	NA	NA	10	2	The revelation that the military commander who the president appointed last month troubled people.	26	33
filler	N	N	filler	2	In 1945, Germany and Japan surrendered to the Allied forces, ending one of the bloodiest conflicts in history.	27	33
2	NA	NA	0	1	The report that the leading man who the starlet fell in love with almost made her cry.	28	33
2	NA	NA	12	2	The inkling that the famous sculptor who the painter admired more than anyone was completely untrue.	29	33
0	NA	NA	15	2	The claim that the college student who the professor accused of cheating was dropping the class made the professor happy.	30	33
2	NA	NA	7	2	The rumor that the young violinist who the sponsors backed financially is likely true.	31	33
filler	Y	Y	filler	4	The team decided that the strategy that the visitors from Arkansas that were known to be troublemakers had used to win the tournament was a form of cheating.	32	33
