workerid	completion	condition	item	sentence1	slide_number
533	15	er hat ihn schlecht operiert	SC_RC	EMBEDDED_0	Klaus hat erzählt, dass die Klage, dass der Chirurg, den der Patient	15
534	15	für PIS gestimmt hat keinen Verstand	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	27
535	15	 war im Wald, er fand ein Wildschwein	sub_ext_RC	4_sub_ext_RC	Der Förster, der	41
536	15	du hast es überall in der Stadt gehört	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	42
537	15	und der Fahrer bekam Kopfschmerzen	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	9
538	15	muss heute zur schule	filler	filler	Als Frank aufwachte, erinnerte er sich	4
539	15	kann schwimmen	SC_RC	EMBEDDED_6	Luigi hat gedacht, dass die Überzeugung, dass der Lebensretter, den der Schwimmer	32
540	15	verdient viel	SC_RC	EMBEDDED_11	Ich habe gehört, dass die Annahme, dass der Händler, den der Unternehmer	8
541	15	es ist sehr gut lesbar	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	12
542	15	er war auf der Party, er kam nicht von ihr zurück	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	36
543	15	fand ihn	SC_RC	EMBEDDED_10	Ibrahim hat gemeint, dass die Feststellung, dass der Wissenschaftler, den der Bürgermeister	23
544	15	ist ihm entkommen	SC_RC	EMBEDDED_5	Peter sagte mir, dass der Zweifel, dass der Kriminelle, den der Polizist	11
545	15	wenn man sich impfen lässt, kann es zu problemen kommen	filler	filler_6	Wenn du nicht	7
546	15	schlechte Armee	SC_RC	EMBEDDED_8	Vorher erfuhr Angela, dass die Vermutung, dass der Mafioso, den der Journalist	13
547	15	half ihm	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	40
548	15	diskriminiert ihn	SC_RC	EMBEDDED_7	Die Leute glauben, dass die Auffassung, dass der Chef, den der Angestellte	35
549	15	Bäume	filler	filler_35	Der Holzfäller schwitzte unter	21
550	15	ist ein gut bezahlter Beruf	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	22
551	15	heilt Tiere	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	26
552	15	in sein Höschen gepinkelt	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	24
553	15	sie hat alkohol getrunken	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	39
554	15	12:00 Uhr	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	34
555	15	10:00 Uhr.	filler	filler_40	Der alte Mann rief seine Schwester an, um	33
556	15	es kann so schlechte ergebnisse haben	SC_RC	EMBEDDED_4	Niemand denkt wirklich, dass die Aufforderung, dass der Pfarrer, den das Gemeindemitglied	25
557	16	sie zum Essen einzuladen.	filler	filler_40	Der alte Mann rief seine Schwester an, um	20
558	16	behandelt hatte, wieder fit sei, falsch gewesen war.	SC_RC	EMBEDDED_6	Peter sagte mir, dass die Annahme, dass der Marathonläufer, den der Psychiater	19
559	16	auf ihre Bestellung wartete.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	38
560	16	an den Vorabend.	filler	filler	Als Frank aufwachte, erinnerte er sich	4
561	16	Nudeln bestellen wollte, gerufen hatte, war abgelenkt.	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	16
562	16	keine Perde mag, ist jetzt arbeitslos.	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	29
563	16	unerwartet vestorben war, bleibt unvollsteandig.	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	8
564	16	viel Schnaps konsumiert worden war.	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	18
565	16	ging er nach Oxford.	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	6
566	16	bestochen haben soll, Gesetze beeinflusst hat, richtig sein kann.	SC_RC	EMBEDDED_8	Ibrahim hat gemeint, dass die Mutmaßung, dass der Politiker, den der Banker	7
567	16	beobachtet hatte, seinen Muell bei anderen in den Garten zu werfen, zu steinigen sei, doch nicht so grossen Anklang gefunden hat.	SC_RC	EMBEDDED_2	Klaus hat erzählt, dass die Entscheidung, dass der Nachbar, den der Mann	30
568	16	ein Unfall.	filler	filler_14	Alle 20 Minuten passiert in Deutschland	9
569	16	abgelehnt hatte, ersetzt werden soll, ignoriert wurde.	SC_RC	EMBEDDED_3	Hans hat behauptet, dass die Aufforderung, dass der Chirurg, den der Patient	11
570	16	gerne Menschen quaelt, nutzen wollte, war stumpf.	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	24
571	16	ein Comeback versucht, gestern gesungen hat, war langweilig.	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	12
572	16	der ihn nicht leiden kann, des Saales verwiesen hat, wurde von einem Kollegen ersetzt.	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	31
573	16	niedergerempelt hat, selbst Schuld sei, korrekt ist.	SC_RC	EMBEDDED_7	Ich denke nicht, dass die Feststellung, dass der Buchhändler, den der Dieb	17
574	16	der Regen einsetzte.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	15
575	16	geohrfeigt hat, sich im Ton vergriffen hatte, noch mehr auf dem Gewissen hat.	SC_RC	EMBEDDED_9	Niemand denkt wirklich, dass die Vermutung, dass der Schulleiter, den der Lehrer	40
576	16	ich aussuchte, hat sich als toll herausgestellt.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	41
577	16	alte Karten zu studieren.	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	42
578	16	die Fans gefordert hatten, stellt sich als Niete heraus.	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	32
579	16	sind wetterabhaengig.	filler	filler_5	Spiele und Picknicks im Freien	33
580	16	verletzt hatte, hinterlassen hatte, nicht relevant war.	SC_RC	EMBEDDED_4	Gestern sagte Norbert, dass das Zeichen, dass das Opfer, das der Verbrecher	23
581	16	nicht waehlt, hat keine Stimme.	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	10
582	16	gab es Dinosaurier.	filler	filler_16	Vor langer Zeit	37
583	16	entlassen hat, unfaehig sei, durchaus gerechtfertigt ist.	SC_RC	EMBEDDED_0	Lisa hat gesagt, dass die Kritik, dass der Kommandant, den der Präsident	36
584	16	heute schon 2 Biere getrunken hatte.	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	39
585	16	aufpasst, verpasst du es.	filler	filler_6	Wenn du nicht	13
586	16	versorgte, heim gehen kann, falsch ist.	SC_RC	EMBEDDED_1	Luigi hat gedacht, dass die Anordnung, dass das Kind, das der Sanitäter	14
587	16	erschreckt hatte, kindisch sei, von vielen geteilt wurde.	SC_RC	EMBEDDED_10	Ich habe gehört, dass die Auffassung, dass der Junge, den der Clown	28
588	16	angeheuert hatte, absichtlich Umwege fuhr, stichhaltig ist.	SC_RC	EMBEDDED_5	Die Leute glauben, dass der Beleg, dass der Taxifahrer, den der Tourist	34
589	16	einen Holzgummiring erfand, ins Haus gebeten hat, traut seinen Augen nicht.	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	35
590	16	der starken Hitze.	filler	filler_35	Der Holzfäller schwitzte unter	21
591	16	Tierversuche.	filler	filler	Annabelle war generell gegen	5
592	16	keiner leiden konnte, wurde ausgeladen.	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	27
593	16	herbeigerufen hatte, gar nicht schwimmen konnte, fuer Heiterkeit sorgte.	SC_RC	EMBEDDED_11	Vorher erfuhr Angela, dass die Erkenntnis, dass der Lebensretter, den der Schwimmer	25
594	16	geht durch den schoenen Wald.	sub_ext_RC	4_sub_ext_RC	Der Förster, der	22
595	16	Calvados trinke, wird mir uebel werden.	filler	filler_3	Wenn ich jemals noch einen	26
596	17	sie einzuladen.	filler	filler_40	Der alte Mann rief seine Schwester an, um	10
597	17	sei eine nackte Frau am Straßenrand sahen.	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	41
598	17	zur Universität ging, wurde verbrannt.	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	18
599	17	auf der Arbeit war, rettete den Hund.	sub_ext_RC	4_sub_ext_RC	Der Förster, der	19
600	17	gesehen hat, falsch sei.	SC_RC	EMBEDDED_9	Luigi hat gedacht, dass die Auffassung, dass der Politiker, den der Banker	17
601	17	Patienten gab, war grün.	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	7
602	17	das Glas verschüttete, sah, bekam viel Trinkgeld.	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	29
603	17	lebten Dinosaurier.	filler	filler_16	Vor langer Zeit	31
604	17	Politik jeglicher Art.	filler	filler	Annabelle war generell gegen	5
605	17	deine Hausaufgaben machst, darfst du nicht Fernsehen.	filler	filler_6	Wenn du nicht	40
606	17	zog er um nach New York.	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	6
607	17	informiert ist, macht eine gute Wahl.	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	8
608	17	betreute, ungerechtfertigt sei.	SC_RC	EMBEDDED_5	Die Leute glauben, dass die Kritik, dass der Marathonläufer, den der Psychiater	32
609	17	seinem Hemd.	filler	filler_35	Der Holzfäller schwitzte unter	16
610	17	bestohlen hat, wahr war, schockierte sie.	SC_RC	EMBEDDED_6	Lisa hat gesagt, dass die Tatsache, dass der Buchhändler, den der Dieb	22
611	17	auf dem Pferd sitzt, gewinnt.	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	21
612	17	Kirche, verfasste, war wundervoll.	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	42
613	17	das Gewitter anfing.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	33
614	17	das Eis gestohlen habe.	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	15
615	17	verteidigte, wirklich den Kanzler erschossen hatte, war sei.	SC_RC	EMBEDDED_8	Niemand denkt wirklich, dass die Mutmaßung, dass der Bildhauer, den die Anwältin	26
616	17	bestochen wurde, meldete, wurde verhaftet.	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	27
617	17	zu trinken.	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	11
618	17	an seinen Traum.	filler	filler	Als Frank aufwachte, erinnerte er sich	4
619	17	rettete, zu übersehen war.	SC_RC	EMBEDDED_0	Ich denke nicht, dass das Zeichen, dass der Lebensretter, den der Schwimmer	34
620	17	Park sind erwünscht.	filler	filler_5	Spiele und Picknicks im Freien	35
621	17	ausstellte, viel zu teuer sei.	SC_RC	EMBEDDED_1	Ibrahim hat gemeint, dass der Beleg, dass der Marketingspezialist, den die Künstlerin	13
622	17	ich sah, war ein guter Arzt.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	12
623	17	Hamburger esse, muss ich kotzen.	filler	filler_3	Wenn ich jemals noch einen	39
624	17	getroffen hatte, versterben würde, ihn sehr traurig stimmte.	SC_RC	EMBEDDED_10	Peter sagte mir, dass die Befürchtung, dass der Schauspieler, den der Star	38
625	17	ich traf, war ein richtiges Arschloch.	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	37
626	17	ein Unfall.	filler	filler_14	Alle 20 Minuten passiert in Deutschland	14
627	17	verprügelte, gestorben ist, schockierte ihn für sein restliches Leben.	SC_RC	EMBEDDED_7	Ich habe gehört, dass die Erkenntnis, dass der Kriminelle, den der Polizist	28
628	17	gesehen hatte, ein Verbrecher war.	SC_RC	EMBEDDED_11	Vorher erfuhr Angela, dass die Feststellung, dass der Unternehmer, den der Wohltäter	20
629	17	gerne Bier trinkt, sah, wurde verhaftet.	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	23
630	17	sah, sei gefälscht.	SC_RC	EMBEDDED_3	Hans hat behauptet, dass der Bericht, dass das Opfer, das der Verbrecher	9
631	17	aufgeregt war.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	25
632	17	geschlagen hatte, abgewiesen wurde, da sie diplomatische Immunität genießt.	SC_RC	EMBEDDED_4	Klaus hat erzählt, dass die Klage, dass der Abgeordnete, den die Diplomatin	24
633	17	ich verehre, gewann die Weltmeisterschaft	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	36
634	18	versuchte zu schmieren, äußerst loyal ist, sich leider als Fehlannahme entpuppte.	SC_RC	EMBEDDED_8	Vorher erfuhr Angela, dass die Feststellung, dass der Büroangestellte, den der Kunde	23
635	18	ein wenig Zeit miteinander zu verbringen. 	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	22
636	18	ein Unfall im Haushalt.	filler	filler_14	Alle 20 Minuten passiert in Deutschland	7
637	18	bergen immer die Gefahr, sich eine Zecke einzufangen.	filler	filler_5	Spiele und Picknicks im Freien	11
638	18	beauftragt hat, seine Waren bereits geliefert hat, verschwunden sei. 	SC_RC	EMBEDDED_5	Hans hat behauptet, dass der Beleg, dass der Händler, den der Unternehmer	12
639	18	ich regelmäßig aufsuche, stellt sehr hohe und für mich nicht nachvollziehbare Rechnungen aus. 	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	24
640	18	heute Abend in der Show zu sehen war, hat mir sehr gefallen. 	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	21
641	18	nicht namentlich nennen wollte, seine Spende geheim zu halten, unbedingt eingehalten werden muss. 	SC_RC	EMBEDDED_0	Peter sagte mir, dass die Anordnung, dass der Unternehmer, den der Wohltäter	42
642	18	begann er sein Studium in einer anderen Stadt.	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	6
643	18	angezeigt hat, seine Tat nicht bereut, für Aufruhr im Gerichtssaal sorgte. 	SC_RC	EMBEDDED_1	Ich habe gehört, dass die Klage, dass der Betrüger, den die Frau	32
644	18	wartend im Restaurant saß.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	9
645	18	an die Laterne gefesselt hat, für den Einbruch verantwortlich sei, sich bestätigt hat. 	SC_RC	EMBEDDED_10	Ibrahim hat gemeint, dass die Vermutung, dass der Kriminelle, den der Polizist	20
646	18	bis spätenstens morgen Bescheid gibst, fahren wir ohne dich.	filler	filler_6	Wenn du nicht	10
647	18	angerufen hat, er solle sich einen neuen Posten suchen, nicht erfolgreich war. 	SC_RC	EMBEDDED_3	Luigi hat gedacht, dass die Aufforderung, dass der Pfarrer, den das Gemeindemitglied	25
648	18	heute früh in der Straßenbahn saß, heimlich die Tasche gab, wurde inzwischen leblos in seiner Wohnung aufgefunden. 	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	33
649	18	stand da mal ein Haus. 	filler	filler_16	Vor langer Zeit	34
650	18	bereits einige Bestseller geschrieben hat, liegt unter dem Sofa.  	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	15
651	18	übrigens heute Geburtstag hat, eigentlich einsetzen wollte, fiel auf den Boden und rollte unter den Schrank. 	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	41
652	18	interviewt hat, eigentlich ganz nett ist, sie ziemlich überraschte.	SC_RC	EMBEDDED_7	Lisa hat gesagt, dass die Erkenntnis, dass der Mafioso, den der Journalist	16
653	18	den Vorschlag bereits am Vormittag zu starten, weswegen der Zeitpunkt auf 16:00 Uhr verlegt wurde.	filler	filler	Annabelle war generell gegen	4
654	18	nicht mehr richtig an seinen Traum.	filler	filler	Als Frank aufwachte, erinnerte er sich	5
655	18	ich heute im Gerichtssaal gesehen habe, sieht umwerfend aus.	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	19
656	18	den Fall bereits abgeschlossen hat, für morgen wieder bestellte, ist tot. 	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	31
657	18	so verschachtelten Satz bilden muss, dann mach ich nicht mehr mit. 	filler	filler_3	Wenn ich jemals noch einen	26
658	18	seit langem beschattet hat, für die Tat verantwortlich sei, völlig falsch war. 	SC_RC	EMBEDDED_11	Klaus hat erzählt, dass die Annahme, dass der Extremist, den der Agent	14
659	18	fremd gegangen war. 	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	35
660	18	es anfing zu regnen. 	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	36
661	18	-Regisseur für die Hauptrolle ausgewählt hatte, gerechtfertigt war. 	SC_RC	EMBEDDED_4	Die Leute glauben, dass der Zweifel, dass der Schauspieler, den der Star	8
662	18	seinem dicken, karierten Holzfällerhemd. 	filler	filler_35	Der Holzfäller schwitzte unter	17
663	18	eigentlich reiten sollte, hat sich das Bein gebrochen. 	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	40
664	18	der Korruption bezichtigte, für seine Taten gerade stehen würde, sich als falsch herausstellen wird. 	SC_RC	EMBEDDED_6	Niemand denkt wirklich, dass die Überzeugung, dass der Chef, den der Angestellte	28
665	18	heute im Wald war, ist inzwischen wieder daheim. 	sub_ext_RC	4_sub_ext_RC	Der Förster, der	39
666	18	im Wald zurück ließ, ein bekannter Superstar war, etwas an dem Gerichtsurteil ändern würde.	SC_RC	EMBEDDED_2	Ich denke nicht, dass die Entdeckung, dass das Opfer, das der Verbrecher	18
667	18	da gerade in der Box steht, hat seinen Kugelschreiber fallen lassen. 	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	30
668	18	sich zu verabschieden. 	filler	filler_40	Der alte Mann rief seine Schwester an, um	38
669	18	den wir alle schon lange kennen, hat heute ein Tor geschossen.	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	13
670	18	er alle vorhandenen Flaschen Rum ausgetrunken hatte. 	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	27
671	18	den Kuchen bestellt hat, gerufen hat, ist plötzlich verschwunden.	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	29
672	18	auf Schadensersatz verklagte, bereits zweimal vor Gericht stand, sich strafverschärfend auf das jetzige Urteil auswirken würde. 	SC_RC	EMBEDDED_9	Gestern sagte Norbert, dass die Tatsache, dass der Chirurg, den der Patient	37
673	19	so leicht keiner ersetzten kann, denn er beherrscht die perfekte Bananenflanke.	obj_ext_RC	5_obj_ext_RC	Der Fußballer, den	26
674	19	vor Freude feststellte, dass ihr Gehalt auf dem Konto eingegangen war.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	7
675	19	loswerden wollten, in ein anderes Ensemble wechselt, vom Vorsitzenden des Musikvereins gebilligt wurde.	SC_RC	EMBEDDED_1	Ich habe gehört, dass die Entscheidung, dass der Geigenspieler, den die Sponsoren	25
676	19	stetig im Wechsel wählt, hat sich selten mit seiner eigentlichen politischen Einstellung befasst und will sie möglicherweise selber gar nicht genauer wissen.	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	14
677	19	Patientin einsetzen wollte, stellte sich als mangelhaft heraus.	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	8
678	19	alles, was nicht ihrem Meinungsbild entsprach.	filler	filler	Annabelle war generell gegen	4
679	19	kleinzureden versuchte, zu irgendeinem brauchbarem Ergebnis führen wird.	SC_RC	EMBEDDED_11	Niemand denkt wirklich, dass die Erkenntnis, dass der Schauspieler, den der Star	30
680	19	Pilz auf meinem Schnitzel finde, obwohl ich Wiener Schnitzel bestellt habe, dann raste ich aus!	filler	filler_3	Wenn ich jemals noch einen	17
681	19	es eiskalt erwischte, als er erkannte, dass er im letzten Verfahren einen schweren Formfehler begangen hatte. 	obj_ext_RC	4_obj_ext_RC	Der Jurist, den	24
682	19	sie auf der Rückfahrt dem Bacchus zu sehr die Ehre erwiesen.	filler	filler_34	Der Chor machte im Bus vieln Lärm, nachdem	22
683	19	ironischerweise tod bergen musste, der Wahrheit entsprechen. 	SC_RC	EMBEDDED_9	Klaus hat erzählt, dass die Befürchtung, dass der Lebensretter, den der Schwimmer	35
684	19	sind auf manchen Flächen problemlos möglich, auf anderen unter Umständen untersagt.	filler	filler_5	Spiele und Picknicks im Freien	10
685	19	auf Inkonsistenzen in seiner Predigt hingewiesen hat, zur Maßriegelung dieser Person eine gute Idee ist.	SC_RC	EMBEDDED_2	Ich denke nicht, dass die Aufforderung, dass der Pfarrer, den das Gemeindemitglied	23
686	19	eigentlich ein anderes Gericht bestellt hatte, zurecht wies, spuckte dem Kunden heimlich in sein Gericht.	RC_RC_an	3_RC_RC_an	Der Kellner, den der Kunde, der	13
687	19	ihr mitzuteilen, dass er nicht mehr lange zu leben hat.	filler	filler_40	Der alte Mann rief seine Schwester an, um	12
688	19	die Sätze in dieser Studie vervollständigst, dann bekommst du für deinen Aufwand keinen Lohn. 	filler	filler_6	Wenn du nicht	36
689	19	meine Katze so sehr verachtete, dass sie ihm regelmäßig versuchte zu beißen.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	37
690	19	auf dem falschen Pferd saß, gewann witzigerweise das Rennen.	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	16
691	19	beklaut haben soll, durchaus gerechtfertigt und nicht aus bloßem Selbstverteidigungsreflex gesät worden sei. 	SC_RC	EMBEDDED_0	Gestern sagte Norbert, dass der Zweifel, dass der Buchhändler, den der Dieb	41
692	19	in sie unsterblich verliebt sei.	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	31
693	19	es gar nicht schreiben wollte, verfasst hat, ist in der Tat viel besser als von ihm selber erwartet.	RC_RC_inan	1_RC_RC_inan	Das Manuskript, das der Schriftsteller, der	18
694	19	,dass er noch einkaufen gehen wollte.	filler	filler	Als Frank aufwachte, erinnerte er sich	5
695	19	brauchte er nicht im Betrieb des Vaters arbeiten, um sich die Studiengebühren und den Unterhalt leisten zu können.	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	6
696	19	, dass sich jemand ein Knoppers reinpfeift und es ist nicht zehn Uhr dreißig.	filler	filler_14	Alle 20 Minuten passiert in Deutschland	34
697	19	im Raubtiierkäfig gefunden haben soll, in Wirklichkeit eine Ente der lokalen Zeitung ist und bald korrigiert wird. 	SC_RC	EMBEDDED_5	Die Leute glauben, dass die Entdeckung, dass der Junge, den der Clown	27
698	19	versucht hat ihm aufzuzwingen, tatsächlich in seinem Hirn verankert wurde.	SC_RC	EMBEDDED_6	Luigi hat gedacht, dass die Überzeugung, dass der Abgeordnete, den die Diplomatin	15
699	19	unzulässigen Berichterstattung bezichtete, berief sich korrekterweise auf die Pressefreiheit. 	RC_RC_an	1_RC_RC_an	Der Reporter, den der Professor, der	38
700	19	engagierte, gerne auch schwierige Persönlichkeiten wie Diktatoren und Warlords vertritt, könne man bei seriösen Quellen im Internet nachlesen. 	SC_RC	EMBEDDED_10	Peter sagte mir, dass die Tatsache, dass der Marketingspezialist, den die Künstlerin	39
701	19	am Flughafen festgenommen hat, in Wirklichkeit selber für den Geheimdienst arbeitet.	SC_RC	EMBEDDED_4	Hans hat behauptet, dass der Bericht, dass der Extremist, den der Agent	11
702	19	sie eigentlich nicht singen wollte, hat durch ihn eine ganz eigene Note erhalten.	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	42
703	19	Faktenverdrehung bezichtete, konnte diesem das Gegenteil beweisen und seinen Ruf retten.	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	29
704	19	dem karierten Holzfällerhemd, denn seine Arbeit ist anstrengend.	filler	filler_35	Der Holzfäller schwitzte unter	40
705	19	auf frischer Tat erwischt hat, auch an vorherigen Straftaten beteiligt gewesen war.	SC_RC	EMBEDDED_7	Ibrahim hat gemeint, dass die Vermutung, dass der Kriminelle, den der Polizist	19
706	19	sie sich zur Rennbahn begaben.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	20
707	19	sich umzubilden, denn die Coronapandemie kostete beide den Job und sie drücken nun wieder die Schulbank um etwas neues, krisenfesteres zu erlernen. 	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	33
708	19	seinen Beruf über alles liebte.	sub_ext_RC	4_sub_ext_RC	Der Förster, der	28
709	19	hatte ich die glorreiche Idee Pharmazie studieren zu wollen und sitze nun tagein/tagaus vor dem Computer und werte Kurvendiskussionen mit therapeutischen Breiten aus. 	filler	filler_16	Vor langer Zeit	32
710	20	zum Essen einlud, auf der Jacke trug, das Symbol der Illuminati ist.	SC_RC	EMBEDDED_1	Ich habe gehört, dass das Zeichen, dass der Nachbar, den der Mann	25
711	20	durchfallen ließ, ungenügend ist, nicht stimmt.	SC_RC	EMBEDDED_3	Ibrahim hat gemeint, dass der Bericht, dass der Student, den der Professor	30
712	20	gerne Spaghettieis isst, fährt Einrad.	sub_ext_RC	4_sub_ext_RC	Der Förster, der	9
713	20	machen Spaß.	filler	filler_5	Spiele und Picknicks im Freien	10
714	20	lebten Dinosaurier auf der Erde.	filler	filler_16	Vor langer Zeit	24
715	20	im Fluß schwammen.	filler	filler_27	Die Pferde liefen den Hügel herunter zum Stall, bevor	14
716	20	erschoßen hat, in der Hand hielt, gefälscht worden war.	SC_RC	EMBEDDED_4	Die Leute glauben, dass der Beleg, dass der Extremist, den der Agent	15
717	20	jede Einmischung.	filler	filler	Annabelle war generell gegen	6
718	20	an seinen Traum.	filler	filler	Als Frank aufwachte, erinnerte er sich	4
719	20	vor dem Ertrinken rettete, schwimmen kann, berechtigt ist.	SC_RC	EMBEDDED_0	Hans hat behauptet, dass der Zweifel, dass der Lebensretter, den der Schwimmer	27
720	20	etwas.	filler	filler_14	Alle 20 Minuten passiert in Deutschland	11
721	20	vertraute, ein Betrüger ist, sich bewahrheitet hat.	SC_RC	EMBEDDED_8	Peter sagte mir, dass die Befürchtung, dass der Chirurg, den der Patient	23
722	20	ihr Stück Kuchen aß.	filler	filler_12	Karl gab gegenüber Larissa zu, dass er	22
723	20	es genießt anderen Menschen Schmerzen zuzufügen, der in seiner Tasche ist, ist rot.	RC_RC_inan	6_RC_RC_inan	Der Stift, den der Zahnarzt, der	33
724	20	verteidigt, unschuldig ist, ihn überrascht hat.	SC_RC	EMBEDDED_11	Klaus hat erzählt, dass die Erkenntnis, dass der Bildhauer, den die Anwältin	12
725	20	beauftragt hat, sämtliche Ergebnisse zu vernichten, nicht befolgt wurde.	SC_RC	EMBEDDED_2	Lisa hat gesagt, dass die Aufforderung, dass der Wissenschaftler, den der Bürgermeister	17
726	20	ist er weggezogen.	filler	filler	Der Sohn des Gärtners erhielt ein Stipendium, deshalb	5
727	20	über den Prozess wacht, verurteilt hat, hat seine Strafe abgesessen.	RC_RC_an	2_RC_RC_an	Der Anwalt, den der Richter, der	13
728	20	das Flußpferd gebissen hat, fehlt ein Arm.	obj_ext_RC	1_obj_ext_RC	Der Tierarzt, den	26
729	20	beim Klauen erwischt hat, dies seit einiger Zeit macht, der Wahrheit entspricht.	SC_RC	EMBEDDED_5	Niemand denkt wirklich, dass die Klage, dass der Büroangestellte, den der Kunde	19
730	20	der Musik lauschte.	filler	filler_29	Sie trommelte mit den Fingern auf den Tisch als sie	7
731	20	der stumm ist, in Zeichensprache sang, war gefühlvoll.	RC_RC_inan	2_RC_RC_inan	Die Ballade, die der Sänger, der	29
732	20	immer die Linke wählt, wählt dieses Jahr NPD.	sub_ext_RC	2_sub_ext_RC	Der Wähler, der	21
733	20	vertraute, betrogen hat, sich bewahrheitet hat.	SC_RC	EMBEDDED_10	Gestern sagte Norbert, dass die Vermutung, dass der Betrüger, den die Frau	32
734	20	nach alten Landkarten zu suchen.	filler	filler_24	Die Piloten trafen sich in der Bibliothek, um	28
735	20	angerufen hat, korrupt ist, falsch ist.	SC_RC	EMBEDDED_7	Luigi hat gedacht, dass die Auffassung, dass der Abgeordnete, den die Diplomatin	8
736	20	gerne rückwärts auf seinem Pferd reitet, fiel auf die Nase.	sub_ext_RC	5_sub_ext_RC	Der Jockey, der	16
