completion	verbs
auf frischer Tat ertappt hatte, das Verbrechen auch wirklich begangen hat, eigentlich eindeutig sei.	3
aus dem Baum gerettet hatte, 5 Jahre alt war, nicht stimmt.	3
aus dem Weg ging, fallen gelassen wird. 	2
ausfindig gemacht hatte, Anschlagspläne ausgearbeitet hatte, gottlob unbegründet war.	3
ausgewählt hat, B-Waren anbieten darf, falsch war, da nun der Wettbewerb verzerrt wird.	3
ausraubte, den Vorfall vorgetäuscht hat, sich bewahrheitet hat.	3
beauftragt hat, ihr weiterhelfen könne, nicht stimmt.	3
beauftragt hat, sämtliche Ergebnisse zu vernichten, nicht befolgt wurde.	3
beauftragt hatte, der richtige Mann für den Job ist, gut ist.	3
befragt hat, einen falschen Bart hat, begründet ist.	3
befördert hat, sich bestochen haben lassen soll, unwahr zu sein scheint.	3
beim Durchforsten der Mülltonnen auf frischer Tat ertappt hatte, bisweilen durch unangenehmen Geruch auffiel, absolut der Wahrheit entsprach - wie sich nun zeigte.	3
beim Essen traf, betreffen wird.	2
beim Klauen erwischt hat, dies seit einiger Zeit macht, der Wahrheit entspricht.	3
beleidigt hat, gefeurert werden soll, ungerecht ist.	3
belustigte, fertiggestellt ist.	2
beschuldigt hatte, nicht schuldig war, eine Überraschung war.	3
beschützt hat, reicht, damit der Agent entlassen wird.	2
bestochen hat, seinen Job verloren hat, nicht stimmt.	3
bestohlen hat, Verluste macht, positiv ist.	3
bestohlen hat, sich nicht gewehrt hat, unbegründet war.	3
bestohlen hatte, wiedergefunden wurde.	2
biss, falsch war.	2
brauchte, dem Kind das Leben gerettet hat, sehr gut geschrieben war.	3
chauffiert hat, eine Busse bekommnen sollte für sein Verhalten, nicht gerechtfertigt ist.	3
denunzierte, auf falschen Tatsachen beruht.	2
durchfallen ließ, ungenügend ist, nicht stimmt.	3
ein Dorn im Auge ist, komplett erfunden ist.	2
eines Diebstahls beschuldigt hatte, unbegründet war. 	3
eingeladen hat, unzuverlässig war.	2
eingeladen hatte, nicht mehr gültig ist.	2
eingestellt hat, ihr keine Hilfe war, leider zu spät kam. 	3
eingestellt hat, zu ungenau gearbeitet hat, nicht der Wahrheit entsprechen würde.	3
einsperrte, womöglich falsch sei.	2
empfohlen hat, rechtswidrig war. 	2
engagiert hatte, nicht nett war.	2
engagiert hatte, zu schnell gefahren ist, das Blitzerfoto sei.	3
engagierte, zitrrige Hände hat, kein gutes sei.	3
entlassen hat, sehr faul ist, keinen Grund dafür ist ihn zu entlassen.	3
erkannte, sein Verhalten honorieren möchte.	2
ernannt hat fähig ist, nie vergehen wird.	3
erschossen hat unschuldig sei, falsch ist.	3
erschoßen hat, in der Hand hielt, gefälscht worden war.	3
erschreckt hat, geweint hat, nicht stimmt.	3
erwähnte, ungerecht war. 	2
erwähnte, zutrifft.	2
festgenommen hat, unschuldig ist, stimmt. 	3
für diesen Auftrag organisiert hatte, dieser Aufgabe gewachsen war, zu Unrecht angestellt wurde.	3
für seine herausragenden Leistungen zum Ehrenbürger ernannt hatte, als der Beste seines Faches gelten musste, mit Fug und Recht bestand.	3
gebraucht hat, ein Zeichen Gottes war.	2
gefangen hat, unschuldig ist, nicht stimmt.	3
gefeuert hat, nicht stimmen würde.	2
geheiratet hat, ein Einbrecher ist, ein Chance hat.	3
geheiratet hat, sich kaufen lies, gerechtfertigt ist.	3
gelobt hat, wahr ist, da er immer gute Arbeit leistet.	2
gemeldet hatte, eingetroffen ist.	2
gequält hatte, gefälscht worden war.	2
gerettet hat, verschwunden ist.	2
gesehen haben soll, der Täter ist, besteht.	3
gestern ins Gefägnis brachte, reicht um wieder frei zukommen.	2
gestern verhaftet hatte, älter als 30 ist, nicht stimmt.	3
getroffen hatte, einer grossen kriminellen Netzwerk angehört, viele überrascht hat.	3
getroffen hatte, welches angesprochen wurde, für den Unterricht unangebracht wäre.	3
getötet hat, Schulden hatte, nie existiert hat.	3
getötet hat, zuerst angegriffen hatte, nicht stimmt.	3
gewählt hat, bei der OP gepfuscht habe, nicht rechtens sei.	3
gut kannte, dieser zuzwinkerte, in diesem Fall nicht unverdächtig war und für die internationalen Beziehungen hochproblematisch sein könnte.	3
hasste, wirklich schlimm war.	2
hatte, schlicht falsch war. 	2
herbestellt hat, einen Fehler begangen hat, stimmt.	3
ignoriert hat, weil er sich nicht benommen hat, berechtigt ist.	3
ihn aufgegben hatte, unvollständig ist. 	2
ihr vorgeschlagen hatte, nicht passend für ihr Anliegen ist, nicht korrekt ist.	3
im Gespräch angebrüllt hatte, der Situation angemessen gehandelt hat, absolut folgerichtig ist.	3
in das Haus einbrach, am falschen Ort war.	2
in der Vorstellung mit Wasser bespuckt hatte, bei dieser zu weinen begann, unberechtigt war.	3
ins Klassenzimmer gerufen hatte, nächstes mal pünktlich kommen sollte - trotz seiner Position - absolut legitim sei.	3
interviewen wollte, anonym bleibt, befolgt wird.	3
interviewt hatte, lebenslang hinter Gitter muss.	2
kannte, ihr alter Mathelehrer war.	2
konsultierte, gerechtfertigt sei.	2
konsultierte, nicht zur genüge Leistung bringen kann.	2
letzte Woche höchst verärgert hatte, dem keine Konsequenzen folgen lassen wird, eine Berechtigung hat.	3
liebt, eigentlich korrupt ist.	2
mit in das Krankenhaus genommen hat, in Wirklichkeit gar nicht verletzt war, nicht stimmen würde.	3
sein leben verdankt, selbstverständlich sei.	2
sieht, ein rotes Armband tragen muss, praktisch ist.	3
so gerne mag, bevorzugt werde, wahrscheinlich der Wahrheit entspricht.	3
so mochte, schwul sei, ein Irrtum ist.	3
um Rat gefragt hatte, ein Schwindler sei, gelogen war.	3
unterstützen unfähig ist, nicht gerechtfertigt sei.	2
unterstützt hat, Pleite geht, sich wohl bewahrheiten wird.	3
unterstützt, ein negatives Bild auf den Wohltäter wirft.	2
unterstützt, falsche Studien vorgelegt hat, wahr ist.	3
verfolgt hat, großartig war.	2
verklagt, etwas geklaut habe, viel Sinn macht.	3
verteidigt, unschuldig ist, ihn überrascht hat.	3
vertraute, betrogen hat, sich bewahrheitet hat.	3
vertraute, ein Betrüger ist, sich bewahrheitet hat.	3
vertraute, ein guter Chirurg ist.	2
vor dem Ertrinken rettete, schwimmen kann, berechtigt ist.	3
wiederbelebte, vom Gericht abgewiesen wurde.	2
zu Hilfe gerufen hatte, noch rechtzeitig eintreffen würde, sich glücklicherweise bestätigte.	3
zugerichtet hat, inzwischen bestätigt ist.	2
zum Essen einlud, auf der Jacke trug, das Symbol der Illuminati ist.	3
abgegeben hatte, jemand bestohlen haben könnte, vielleicht nicht korrekt war.	3
als geisteskrank eingestuft, bei dem Wettkampf mit unfairen Mitteln gewonnen hat, einfach falsch sei.	3
als schwul geoutet hat, ein Kopfgeld auf den Journalisten ausgesetzt hatte, gerechtfertigt war.	3
angeklagt hatte, betrogen hatte, berechtigt war	3
angeklagt hatte, schon viele weitere Leute erpresst hatte, schockierend war	3
angeschwärzt hat, faul sei, durchaus stimmig sei.	3
auf frischer Tat ertappt hatte, eine große Summe Geld gestohlen hat, hieb- und stichfest sei.	3
ausstellte, viel zu teuer sei.	2
bedient hat, ein sowjetischen Zeichen war.	NA
befragt hatte, am Verbrechen beteiligt war, korrekt ist	3
beleidigt hat, nett sei, nicht wahr ist.	3
beleidigt hatte, dann aggressiv wurde, gerechtfertigt war	3
belästigt hat, Selbstmord begang, unwahr sei.	3
beobachtet hatte, Dreck am Stecken hatte, überzogen war	3
beschimpft hatte, gekündigt wurde, zu harsch sei.	3
bestochen hat, bestechlich sei, vermutlich wahr ist.	3
bestohlen hat, wahr war, schockierte sie.	3
betreute, ungerechtfertigt sei.	2
davor nicht kannte, einen Fehler gemacht hatte, zu spät kam	3
diskriminiert ihn	1
engagiert hatte nicht richtig war	2
entführt hat, wirklich hinter dem Verbrechen steckt.	2
er hat ihn schlecht operiert	NA
ernannt hatte, ein guter Mensch sein könnte	2
erschossen hatte, einen Bombe versteckt hat, dämlich sei.	3
erst kürzlich angestellt hatte, übertrieben war	2
erstochen hatte, ein schlechter Mensch gewesen sei, komplett fabriziert war.	3
ertappt hatte, unschuldig war, gerechtfertigt ist	3
erwischt hatte, korrupt war, eindeutig ist.	3
erwähnt hatte, unfähig ist, falsch ist.	3
es beschäftigte ihn	NA
es kann so schlechte ergebnisse haben	NA
etwas gefragt hatte, korrupt sein könnte, womöglich zutreffen könnte	3
fand ihn	1
festgenommen hatte, nicht korrekt war	2
festgenommen hatte, unberechtigt war	2
für wenig kompetent hält, eine Gehaltserhöhung bekommen würde, dämlich sei.	3
gefangen hat, der angeblich die Bank überfallen hat, eine Fälschung war.	3
gefragt hatte, einen Einkauf getätigt hatte, gefälscht war	3
gefördert hatte, nun sehr erfolgreich ist, verdient ist	3
gerettet hat, überlebt hat, ein Zeichen von Gott ist.	3
gerretet hat, vor ein Auto gelaufen war, vielleicht nicht richtig war	3
geschlagen hatte, abgewiesen wurde, da sie diplomatische Immunität genießt.	2
gesehen hat, falsch sei.	2
gesehen hatte, den Eintrittspreis bezahlen solle, eine Frechheit war	3
gesehen hatte, ein Verbrecher war.	2
gesponsert haben, gefälscht war.	2
getroffen hatte, versterben würde, ihn sehr traurig stimmte.	3
heute morgen sah, unsere Privatsphäre nicht beachtet, nicht berechtigt sei.	3
in den Schatten gestellt hat, überbewertet sei, nicht besonders fundiert sei.	3
ist ihm entkommen	1
kann schwimmen	1
kontaktiert hatte, nicht rechtens war	2
machte, nicht ungeschoren davonkommen soll.	2
nicht leiden konnte, gepfuscht hat, echt war	3
rettete, zu übersehen war.	2
sah, sei gefälscht.	2
schlechte Armee	NA
sie sind zu schwach	NA
und wird von uns scheiden	NA
unter Verdacht hatte, doch hinter den Anschuldigen von Inzucht steckte, falsch war.	3
verdient viel	1
verführt hatte, nun Liebeskummer habe, unbegründet sei	3
verhaftete, unvollständig sei.	2
verhört hatte, wirklich schuldig sei, unbegründet wäre	3
verletzt hat, unschuldig ist.	2
verprügelte, gestorben ist, schockierte ihn für sein restliches Leben.	3
verteidigte, wirklich den Kanzler erschossen hatte, war sei.	3
vor Anzeige gebracht hat, auf Bewährung freizulassen, doch keine gute Idee sei.	3
vor Gericht verteidigen musste, in Wahrheit immer eine Fälschung verkauft hatte, dass er in seiner Wohnung das Geld versteckt hat, jetzt dazu führt, dass er hinter Gitter muss.	3
wer hat eine Million Dollar gestohlen	2
zurechgewiesen hat, langsam senil wird, klarer wird.	3
überfallen hatte, zur Tatzeit nicht daheim war, falsch war	3
überwacht hat, nicht mehr wichtig für das Gericht war.	2
???	NA
Anstellte 	NA
Beschuldigte falsch war	NA
Beschuldigte falsch war 	NA
Beschuldigte, falsch war	NA
Das Leben gerettet hat	NA
Engagierten	1
Erschreckt hat, Hans heißt, falsch sei.	3
Falsch wäre 	1
Fand, falsch sei	2
Rumfuhr 	1
abgelehnt hatte, ersetzt werden soll, ignoriert wurde.	3
angeheuert hatte, absichtlich Umwege fuhr, stichhaltig ist.	3
angeheuert hatte, das Sofa verkaufen sollte, nicht richtig war.	3
angezeigt hatte, verwerflich war.	2
anheuerte, einen kriminellen Hintergrund habe, das Projekt nicht beeinflussen würde.	3
anhing falsch war	2
anschrie 	1
anschrie gut war	2
anschuldigte, unschuldig war, stimmt.	3
anstellte, in seinem Beruf gut ist, stimmt.	3
anzeigte, bereits andere Frauen betrogen hatte, stimmte.	3
anzeigte, ins Gefängnis muss, falsch ist.	3
attackiert haben sollte, der eigentliche Täter gewesen sein soll, zurückgewiesen sein worden soll.	3
aufgesucht hatte, gar nicht Medizin studiert hat, ein Skandal war.	3
ausgezeichnet hatte, sich dazu im Fernsehen äußern soll, auf Widerstand stieß.	3
ausspionierte, ins Gefängnis muss, gerecht ist. 	3
auswählte gut überlegt war	2
auswählte, nicht gut schauspielern konnte, nicht richtig war. 	3
auswählten	1
beauftragt hatte, falsch ist.	2
beauftragt hatte, nachlassig war, abgewiesen wurde.	3
beauftragt hatte, wortbrüchig geworden ist, falsch ist.	3
bedacht hatte, ein Kriegsverbrecher ist, erst jetzt in die Öffentlichkeit geraten ist.	3
behandelt hatte, wieder fit sei, falsch gewesen war.	3
behandelte, echt war	2
bei einem medizinischen Notfall aufsuchte, betrunken operierte, dem Patienten das Leben rettete. 	3
beklaut haben soll, nicht gerechtfertigt war.	2
beleidigt hat, Anzeige erstatten will, falsch ist.	3
beleidigt hatte, gemalt hat, komisch war.	3
beleidigt hatte, zuvor Geld hinterzogen habe, falsch sei.	3
beobachtet hatte, seinen Muell bei anderen in den Garten zu werfen, zu steinigen sei, doch nicht so grossen Anklang gefunden hat.	3
beschuldigte, das getan hat, nicht stimmen könnten. 	3
bestochen haben soll, Gesetze beeinflusst hat, richtig sein kann.	3
bestohlen hatte, in illegale Machenschaften verwickelt sei, falsch wäre.	3
durch die Prüfung fallen lies, ein Störenfried gewesen sei, korrekt ist. 	3
entlarvte, mehrere Millionen erschwindelte, von dieser Frau völlig frei erfunden sei.	3
entlassen hat, unfaehig sei, durchaus gerechtfertigt ist.	3
erschreckt hatte, kindisch sei, von vielen geteilt wurde.	3
erstach, tot ist	2
für schuldig hirlt	NA
gegessen hat schlie.	NA
gejagt hat, einen Ladendiebstahl begangen hat, falsch ist.	3
geohrfeigt hat, sich im Ton vergriffen hatte, noch mehr auf dem Gewissen hat.	3
geschnappt hat, wirklich einen mord begangen hat, kein ausreichender Beweis ist.	3
gesehen hat, geschummelt hat, stimmt. 	3
gestellt hat, entlassen werden soll, gerecht ist.	3
gestern auszeichnete, nicht gültig sei. 	2
gestern bei dem Einbruch sah, wirklich sein Vater gewesen sei, nicht stimmt. 	3
gestern noch grüßte, an seiner Jacke hat, wirklich so speziell geschweige denn aussagend ist. 	3
gestern versuchte zu erschrecken, Angst hatte, nicht berechtigt sei. 	3
herbeigerufen hat, gestohlen hat, falsch wiedergegeben wird.	3
herbeigerufen hatte, gar nicht schwimmen konnte, fuer Heiterkeit sorgte.	3
herbeigerufen hatte, kompetent war, überflüssig war.	3
i letzten Film schlug, fallen gelassen wurde.	2
in Schutz nahm, nur seinem eigenen Nutzen nachgehe, berechtigt ist.	3
kritisiert hat, ein Bürokrat ist, nicht laut geäußert werden darf.	3
letzte Woche noch behandelte, den jetzigen Marathon gewinnt, keine fundierten Hintergründe hätte. 	3
nach dem Weg fragte, absichtlich eine längere Strecke erklärte, um dem Touristen eine Taxifahrt aufzuquatschen, als falsch bewiesen wurde.	3
nicht ausstehen kann, machte, ihn unsympathisch machte. 	3
nicht mochte ihn mochte	2
nicht mochte, reich war, nicht stimmte.	3
nicht mochte, seinen Eingriff absichtlich kompliziert durchführte, stimmt. 	3
nicht mochte, wirklich einfach willkürlich Kinder bestrafte, nicht stimmen würde und dieser eigentlich sehr nett sei. 	3
niedergerempelt hat, selbst Schuld sei, korrekt ist.	3
noch nicht kennengelernt hat, erst seit kurzem diesem Beruf nachgeht, stimmt.	3
rettete falsch war	2
rief tot ist	2
schupste,heile ist.	2
seine Adresse anvertraute, diesen wirklich beklaute, sehr absurd sei. 	3
traf, schnell handeln soll, schon seit Wochen bestehen. 	3
um Hilfe bat, sich um das angesprochene Thema kümmern möchte, der Partei zum Wahlsieg verhelfen kann.	3
umbrachte tot ist.	2
umgebracht hat, falsch sei.	2
umgebracht hat, stimmt.	2
unterstützt haben, Geld gesammelt hat, wirklich stimmt.	3
verfolgte, einfach spurlos verschwand, wahr ist.	3
verlangte, nicht ausreiche für die geplante Büste.	2
verletzt hatte, hinterlassen hatte, nicht relevant war.	3
verprügelt hat, nur Opfer war, generell verspottet wird.	3
versorgte, heim gehen kann, falsch ist.	3
versuchte zu bestechen, das Geld zurückzugeben, nur berechtigt sei. 	3
wiederbelebt hatte, ins Krankenhaus gebracht werden sollte, falsch war.	3
zum Gespräch hinzurief, eigentlich keine Lust auf die Lösung des Problems hatte, keine Feststellung sondern eine Lüge sei.	3
überführt hatte, einen Anschlag plante, richtig sei.	3
